ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Symmetric Coordinates,41.0%,Medium,100.0,https://leetcode.com/problems/symmetric-coordinates,Database
2,Find the Integer Added to Array I,82.1%,Easy,65.6,https://leetcode.com/problems/find-the-integer-added-to-array-i,Array
3,Find the Integer Added to Array II,31.7%,Medium,65.6,https://leetcode.com/problems/find-the-integer-added-to-array-ii,"Array, Two Pointers, Sorting, Enumeration"
4,Minimum Substring Partition of Equal Character Frequency,40.3%,Medium,65.6,https://leetcode.com/problems/minimum-substring-partition-of-equal-character-frequency,"Hash Table, String, Dynamic Programming, Counting"
5,Maximum Total Reward Using Operations I,29.9%,Medium,65.6,https://leetcode.com/problems/maximum-total-reward-using-operations-i,"Array, Dynamic Programming"
6,Maximum Total Reward Using Operations II,20.9%,Hard,65.6,https://leetcode.com/problems/maximum-total-reward-using-operations-ii,"Array, Dynamic Programming, Bit Manipulation"
7,Shortest Subarray With OR at Least K II,50.5%,Medium,65.6,https://leetcode.com/problems/shortest-subarray-with-or-at-least-k-ii,"Array, Bit Manipulation, Sliding Window"
8,Shortest Subarray With OR at Least K I,42.8%,Easy,65.6,https://leetcode.com/problems/shortest-subarray-with-or-at-least-k-i,"Array, Bit Manipulation, Sliding Window"
9,Construct String with Minimum Cost,19.7%,Hard,65.6,https://leetcode.com/problems/construct-string-with-minimum-cost,"Array, String, Dynamic Programming, Suffix Array"
10,Right Triangles,47.1%,Medium,65.6,https://leetcode.com/problems/right-triangles,"Array, Hash Table, Math, Combinatorics, Counting"
11,Next Greater Element III,34.4%,Medium,65.6,https://leetcode.com/problems/next-greater-element-iii,"Math, Two Pointers, String"
12,Pascal's Triangle,76.4%,Easy,65.6,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
13,Jump Game II,41.1%,Medium,65.6,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
