ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Best Time to Buy and Sell Stock,54.8%,Easy,100.0,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
2,Best Team With No Conflicts,50.4%,Medium,88.6,https://leetcode.com/problems/best-team-with-no-conflicts,"Array, Dynamic Programming, Sorting"
3,Find The Original Array of Prefix Xor,88.1%,Medium,88.6,https://leetcode.com/problems/find-the-original-array-of-prefix-xor,"Array, Bit Manipulation"
4,Minimum Cost to Move Chips to The Same Position,72.1%,Easy,88.6,https://leetcode.com/problems/minimum-cost-to-move-chips-to-the-same-position,"Array, Math, Greedy"
5,The Employee That Worked on the Longest Task,50.6%,Easy,86.3,https://leetcode.com/problems/the-employee-that-worked-on-the-longest-task,Array
6,Find Subarrays With Equal Sum,65.9%,Easy,86.3,https://leetcode.com/problems/find-subarrays-with-equal-sum,"Array, Hash Table"
7,Find the Longest Valid Obstacle Course at Each Position,62.8%,Hard,86.3,https://leetcode.com/problems/find-the-longest-valid-obstacle-course-at-each-position,"Array, Binary Search, Binary Indexed Tree"
8,Minimum Number of Lines to Cover Points,42.7%,Medium,86.3,https://leetcode.com/problems/minimum-number-of-lines-to-cover-points,"Array, Hash Table, Math, Dynamic Programming, Backtracking, Bit Manipulation, Geometry, Bitmask"
9,Two Sum,55.1%,Easy,78.1,https://leetcode.com/problems/two-sum,"Array, Hash Table"
10,Merge Intervals,48.8%,Medium,74.5,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
11,Count Subarrays With Fixed Bounds,67.7%,Hard,70.2,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,"Array, Queue, Sliding Window, Monotonic Queue"
12,Copy List with Random Pointer,59.5%,Medium,65.1,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
13,Longest Substring Without Repeating Characters,36.3%,Medium,65.1,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
14,LRU Cache,44.4%,Medium,65.1,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
15,Valid Parentheses,41.8%,Easy,65.1,https://leetcode.com/problems/valid-parentheses,"String, Stack"
16,Jump Game,39.1%,Medium,65.1,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
17,Minimum Number of Refueling Stops,40.4%,Hard,58.4,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
18,Longest Palindromic Substring,35.3%,Medium,58.4,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
19,First Missing Positive,40.6%,Hard,58.4,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
20,Kth Largest Element in an Array,67.6%,Medium,58.4,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
21,Count of Integers,35.2%,Hard,49.1,https://leetcode.com/problems/count-of-integers,"Math, String, Dynamic Programming"
22,Remove Duplicates from Sorted Array,59.5%,Easy,49.1,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
23,Next Greater Element I,73.9%,Easy,49.1,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
24,3Sum,36.4%,Medium,49.1,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
25,Contiguous Array,48.9%,Medium,49.1,https://leetcode.com/problems/contiguous-array,"Array, Hash Table, Prefix Sum"
26,Longest Valid Parentheses,35.7%,Hard,49.1,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
27,Minimum Number of Taps to Open to Water a Garden,50.7%,Hard,49.1,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
28,Count of Range Sum,36.6%,Hard,49.1,https://leetcode.com/problems/count-of-range-sum,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
29,Subarray Sum Equals K,44.9%,Medium,49.1,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
30,Merge Two Sorted Lists,66.3%,Easy,49.1,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
31,Group Anagrams,70.3%,Medium,49.1,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
32,Meeting Rooms II,51.9%,Medium,49.1,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
33,Subarrays with K Different Integers,65.1%,Hard,49.1,https://leetcode.com/problems/subarrays-with-k-different-integers,"Array, Hash Table, Sliding Window, Counting"
34,Reverse String,79.5%,Easy,49.1,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
35,Count Binary Substrings,65.8%,Easy,49.1,https://leetcode.com/problems/count-binary-substrings,"Two Pointers, String"
36,Subtree of Another Tree,49.5%,Easy,49.1,https://leetcode.com/problems/subtree-of-another-tree,"Tree, Depth-First Search, String Matching, Binary Tree, Hash Function"
37,Number of Closed Islands,66.7%,Medium,49.1,https://leetcode.com/problems/number-of-closed-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
38,Steps to Make Array Non-decreasing,22.8%,Medium,49.1,https://leetcode.com/problems/steps-to-make-array-non-decreasing,"Array, Linked List, Stack, Monotonic Stack"
39,Lowest Common Ancestor of a Binary Tree,65.7%,Medium,49.1,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
40,House Robber,52.0%,Medium,49.1,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
41,Reverse Words in a String,50.1%,Medium,49.1,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
42,Best Time to Buy and Sell Stock II,68.9%,Medium,49.1,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
