ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Maximum Earnings From Taxi,44.6%,Medium,100.0,https://leetcode.com/problems/maximum-earnings-from-taxi,"Array, Hash Table, Binary Search, Dynamic Programming, Sorting"
2,Asteroid Collision,45.1%,Medium,83.5,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
3,Trapping Rain Water,64.3%,Hard,71.3,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
4,LRU Cache,44.4%,Medium,71.3,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
5,Largest Number,40.9%,Medium,71.3,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
6,3Sum,36.4%,Medium,71.3,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
7,First Missing Positive,40.6%,Hard,71.3,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
8,Largest Rectangle in Histogram,46.6%,Hard,71.3,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
9,Best Time to Buy and Sell Stock,54.8%,Easy,61.7,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
10,Rotting Oranges,56.0%,Medium,61.7,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
11,Wiggle Sort,68.1%,Medium,61.7,https://leetcode.com/problems/wiggle-sort,"Array, Greedy, Sorting"
12,Minimum Time to Collect All Apples in a Tree,62.8%,Medium,61.7,https://leetcode.com/problems/minimum-time-to-collect-all-apples-in-a-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search"
13,Group Anagrams,70.3%,Medium,61.7,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
14,Lowest Common Ancestor of a Binary Tree,65.7%,Medium,61.7,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
15,Repeated Substring Pattern,46.6%,Easy,61.7,https://leetcode.com/problems/repeated-substring-pattern,"String, String Matching"
16,Maximal Square,48.2%,Medium,61.7,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
17,Word Break II,52.9%,Hard,61.7,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
18,Flatten Binary Tree to Linked List,67.7%,Medium,61.7,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,"Linked List, Stack, Tree, Depth-First Search, Binary Tree"
19,Target Sum,50.3%,Medium,61.7,https://leetcode.com/problems/target-sum,"Array, Dynamic Programming, Backtracking"
