ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,First Missing Positive,40.6%,Hard,100.0,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
2,Two Sum,55.1%,Easy,84.7,https://leetcode.com/problems/two-sum,"Array, Hash Table"
3,Check If Word Is Valid After Substitutions,60.6%,Medium,84.7,https://leetcode.com/problems/check-if-word-is-valid-after-substitutions,"String, Stack"
4,Pacific Atlantic Water Flow,56.9%,Medium,84.7,https://leetcode.com/problems/pacific-atlantic-water-flow,"Array, Depth-First Search, Breadth-First Search, Matrix"
5,Car Fleet,52.9%,Medium,84.7,https://leetcode.com/problems/car-fleet,"Array, Stack, Sorting, Monotonic Stack"
6,LRU Cache,44.4%,Medium,84.7,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
7,Rotting Oranges,56.0%,Medium,84.7,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
8,Online Majority Element In Subarray,42.2%,Hard,72.5,https://leetcode.com/problems/online-majority-element-in-subarray,"Array, Binary Search, Design, Binary Indexed Tree, Segment Tree"
9,Reverse Nodes in k-Group,62.0%,Hard,72.5,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
10,Broken Calculator,55.0%,Medium,72.5,https://leetcode.com/problems/broken-calculator,"Math, Greedy"
11,Maximum Sum of an Hourglass,75.8%,Medium,72.5,https://leetcode.com/problems/maximum-sum-of-an-hourglass,"Array, Matrix, Prefix Sum"
12,Swap For Longest Repeated Character Substring,43.7%,Medium,72.5,https://leetcode.com/problems/swap-for-longest-repeated-character-substring,"Hash Table, String, Sliding Window"
13,Longest Palindromic Substring,35.3%,Medium,72.5,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
14,Partitioning Into Minimum Number Of Deci-Binary Numbers,88.8%,Medium,72.5,https://leetcode.com/problems/partitioning-into-minimum-number-of-deci-binary-numbers,"String, Greedy"
15,Best Time to Buy and Sell Stock,54.8%,Easy,72.5,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
16,Grumpy Bookstore Owner,64.1%,Medium,72.5,https://leetcode.com/problems/grumpy-bookstore-owner,"Array, Sliding Window"
17,Delivering Boxes from Storage to Ports,39.2%,Hard,72.5,https://leetcode.com/problems/delivering-boxes-from-storage-to-ports,"Array, Dynamic Programming, Segment Tree, Queue, Heap (Priority Queue), Prefix Sum, Monotonic Queue"
18,Detect Cycles in 2D Grid,49.6%,Medium,72.5,https://leetcode.com/problems/detect-cycles-in-2d-grid,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
19,Maximum Product of Three Numbers,45.2%,Easy,72.5,https://leetcode.com/problems/maximum-product-of-three-numbers,"Array, Math, Sorting"
20,Minimum Processing Time,69.6%,Medium,72.5,https://leetcode.com/problems/minimum-processing-time,"Array, Greedy, Sorting"
21,Add Two Numbers,45.4%,Medium,72.5,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
22,Longest Common Prefix,44.9%,Easy,72.5,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
23,Container With Most Water,57.2%,Medium,72.5,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
24,Product of Array Except Self,67.4%,Medium,72.5,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
25,Coin Change,45.8%,Medium,72.5,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
26,All Nodes Distance K in Binary Tree,65.9%,Medium,72.5,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
27,Sliding Window Maximum,47.2%,Hard,72.5,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
28,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,56.7%,Medium,72.5,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
29,Degree of an Array,57.1%,Easy,72.5,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
30,Boundary of Binary Tree,46.8%,Medium,72.5,https://leetcode.com/problems/boundary-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
31,Heaters,39.4%,Medium,72.5,https://leetcode.com/problems/heaters,"Array, Two Pointers, Binary Search, Sorting"
32,Course Schedule,48.5%,Medium,72.5,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
33,Word Ladder,41.8%,Hard,72.5,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
34,Group Anagrams,70.3%,Medium,72.5,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
35,Jump Game II,41.1%,Medium,72.5,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
36,Amount of Time for Binary Tree to Be Infected,63.2%,Medium,72.5,https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
