ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Car Fleet,52.9%,Medium,100.0,https://leetcode.com/problems/car-fleet,"Array, Stack, Sorting, Monotonic Stack"
2,Check If Word Is Valid After Substitutions,60.6%,Medium,100.0,https://leetcode.com/problems/check-if-word-is-valid-after-substitutions,"String, Stack"
3,Delivering Boxes from Storage to Ports,39.2%,Hard,97.5,https://leetcode.com/problems/delivering-boxes-from-storage-to-ports,"Array, Dynamic Programming, Segment Tree, Queue, Heap (Priority Queue), Prefix Sum, Monotonic Queue"
4,Minimum Processing Time,69.6%,Medium,97.5,https://leetcode.com/problems/minimum-processing-time,"Array, Greedy, Sorting"
5,Swap For Longest Repeated Character Substring,43.7%,Medium,97.5,https://leetcode.com/problems/swap-for-longest-repeated-character-substring,"Hash Table, String, Sliding Window"
6,Maximum Sum of an Hourglass,75.8%,Medium,97.5,https://leetcode.com/problems/maximum-sum-of-an-hourglass,"Array, Matrix, Prefix Sum"
7,Detect Cycles in 2D Grid,49.6%,Medium,97.5,https://leetcode.com/problems/detect-cycles-in-2d-grid,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
8,Grumpy Bookstore Owner,64.1%,Medium,97.5,https://leetcode.com/problems/grumpy-bookstore-owner,"Array, Sliding Window"
9,Online Majority Element In Subarray,42.2%,Hard,97.5,https://leetcode.com/problems/online-majority-element-in-subarray,"Array, Binary Search, Design, Binary Indexed Tree, Segment Tree"
10,Partitioning Into Minimum Number Of Deci-Binary Numbers,88.8%,Medium,97.5,https://leetcode.com/problems/partitioning-into-minimum-number-of-deci-binary-numbers,"String, Greedy"
11,Broken Calculator,55.0%,Medium,97.5,https://leetcode.com/problems/broken-calculator,"Math, Greedy"
12,First Missing Positive,40.6%,Hard,88.1,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
13,LRU Cache,44.4%,Medium,79.3,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
14,Pacific Atlantic Water Flow,56.9%,Medium,73.5,https://leetcode.com/problems/pacific-atlantic-water-flow,"Array, Depth-First Search, Breadth-First Search, Matrix"
15,Group Anagrams,70.3%,Medium,73.5,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
16,Rotting Oranges,56.0%,Medium,73.5,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
17,Boundary of Binary Tree,46.8%,Medium,73.5,https://leetcode.com/problems/boundary-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
18,Top K Frequent Elements,64.1%,Medium,65.9,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
19,Two Sum,55.1%,Easy,65.9,https://leetcode.com/problems/two-sum,"Array, Hash Table"
20,Spiral Matrix,52.9%,Medium,65.9,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
21,Sliding Window Maximum,47.2%,Hard,65.9,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
22,Coin Change,45.8%,Medium,55.4,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
23,Longest Common Subsequence,58.0%,Medium,55.4,https://leetcode.com/problems/longest-common-subsequence,"String, Dynamic Programming"
