ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Last Stone Weight,65.8%,Easy,100.0,https://leetcode.com/problems/last-stone-weight,"Array, Heap (Priority Queue)"
2,LRU Cache,44.4%,Medium,85.9,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
3,Group Anagrams,70.3%,Medium,74.8,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
4,Missing Number,69.3%,Easy,74.8,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
5,Best Time to Buy and Sell Stock,54.8%,Easy,74.8,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
6,Two Sum,55.1%,Easy,74.8,https://leetcode.com/problems/two-sum,"Array, Hash Table"
7,Add Two Numbers,45.4%,Medium,71.7,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
8,Move Zeroes,62.5%,Easy,68.2,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
9,Minimum Operations to Reduce an Integer to 0,56.7%,Medium,68.2,https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0,"Dynamic Programming, Greedy, Bit Manipulation"
10,Longest Substring Without Repeating Characters,36.3%,Medium,68.2,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
11,Task Scheduler II,53.6%,Medium,68.2,https://leetcode.com/problems/task-scheduler-ii,"Array, Hash Table, Simulation"
12,Number of Islands,61.6%,Medium,68.2,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
13,Trapping Rain Water,64.3%,Hard,64.0,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
14,Merge Intervals,48.8%,Medium,64.0,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
15,Fibonacci Number,72.5%,Easy,64.0,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
16,Find Median from Data Stream,53.0%,Hard,64.0,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
17,Copy List with Random Pointer,59.5%,Medium,64.0,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
18,Reverse Bits,62.2%,Easy,64.0,https://leetcode.com/problems/reverse-bits,"Divide and Conquer, Bit Manipulation"
19,Intersection of Two Linked Lists,60.3%,Easy,58.9,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
20,Binary Tree Maximum Path Sum,40.9%,Hard,58.9,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
21,Maximum Subarray,51.7%,Medium,58.9,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
22,Search in Rotated Sorted Array,42.3%,Medium,58.9,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
23,Generate Parentheses,76.5%,Medium,58.9,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
24,Single Element in a Sorted Array,59.2%,Medium,58.9,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
25,Validate Binary Search Tree,34.0%,Medium,58.9,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
26,Rotate Image,77.2%,Medium,58.9,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
27,Valid Parentheses,41.8%,Easy,58.9,https://leetcode.com/problems/valid-parentheses,"String, Stack"
28,Climbing Stairs,53.3%,Easy,58.9,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
29,Reverse Linked List II,49.1%,Medium,58.9,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
30,Majority Element,65.5%,Easy,52.3,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
31,String to Integer (atoi),18.7%,Medium,52.3,https://leetcode.com/problems/string-to-integer-atoi,String
32,Break a Palindrome,51.5%,Medium,52.3,https://leetcode.com/problems/break-a-palindrome,"String, Greedy"
33,Implement Trie (Prefix Tree),67.4%,Medium,52.3,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
34,Insert Delete GetRandom O(1),54.9%,Medium,52.3,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
35,Max Points on a Line,28.4%,Hard,52.3,https://leetcode.com/problems/max-points-on-a-line,"Array, Hash Table, Math, Geometry"
36,Find Pivot Index,59.9%,Easy,52.3,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
37,Intersection of Two Arrays,76.0%,Easy,52.3,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
38,Design HashMap,65.7%,Easy,52.3,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
39,Find The Original Array of Prefix Xor,88.1%,Medium,52.3,https://leetcode.com/problems/find-the-original-array-of-prefix-xor,"Array, Bit Manipulation"
40,Dot Product of Two Sparse Vectors,89.9%,Medium,52.3,https://leetcode.com/problems/dot-product-of-two-sparse-vectors,"Array, Hash Table, Two Pointers, Design"
41,Minimum Add to Make Parentheses Valid,74.7%,Medium,52.3,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid,"String, Stack, Greedy"
42,Kth Largest Element in an Array,67.6%,Medium,52.3,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
43,Best Time to Buy and Sell Stock IV,46.0%,Hard,52.3,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,"Array, Dynamic Programming"
44,Snapshot Array,36.8%,Medium,52.3,https://leetcode.com/problems/snapshot-array,"Array, Hash Table, Binary Search, Design"
45,Reverse Integer,29.9%,Medium,52.3,https://leetcode.com/problems/reverse-integer,Math
