ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Last Stone Weight,65.8%,Easy,100.0,https://leetcode.com/problems/last-stone-weight,"Array, Heap (Priority Queue)"
2,LRU Cache,44.4%,Medium,87.7,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
3,Minimum Operations to Reduce an Integer to 0,56.7%,Medium,86.2,https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0,"Dynamic Programming, Greedy, Bit Manipulation"
4,Group Anagrams,70.3%,Medium,84.6,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
5,Special Binary String,63.3%,Hard,84.6,https://leetcode.com/problems/special-binary-string,"String, Recursion"
6,Two Sum,55.1%,Easy,80.9,https://leetcode.com/problems/two-sum,"Array, Hash Table"
7,Longest Substring Without Repeating Characters,36.3%,Medium,80.9,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
8,Best Time to Buy and Sell Stock,54.8%,Easy,80.9,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
9,Maximum Number of Visible Points,37.5%,Hard,76.7,https://leetcode.com/problems/maximum-number-of-visible-points,"Array, Math, Geometry, Sliding Window, Sorting"
10,Reverse Bits,62.2%,Easy,76.7,https://leetcode.com/problems/reverse-bits,"Divide and Conquer, Bit Manipulation"
11,Number of Islands,61.6%,Medium,76.7,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
12,Search in Rotated Sorted Array,42.3%,Medium,74.2,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
13,Missing Number,69.3%,Easy,74.2,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
14,Valid Parentheses,41.8%,Easy,71.4,https://leetcode.com/problems/valid-parentheses,"String, Stack"
15,Dot Product of Two Sparse Vectors,89.9%,Medium,71.4,https://leetcode.com/problems/dot-product-of-two-sparse-vectors,"Array, Hash Table, Two Pointers, Design"
16,Merge Intervals,48.8%,Medium,68.3,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
17,Task Scheduler II,53.6%,Medium,68.3,https://leetcode.com/problems/task-scheduler-ii,"Array, Hash Table, Simulation"
18,Add Two Numbers,45.4%,Medium,68.3,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
19,Copy List with Random Pointer,59.5%,Medium,64.7,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
20,Move Zeroes,62.5%,Easy,64.7,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
21,Fibonacci Number,72.5%,Easy,64.7,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
22,Rotate Image,77.2%,Medium,64.7,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
23,Merge k Sorted Lists,55.8%,Hard,64.7,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
24,Climbing Stairs,53.3%,Easy,64.7,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
25,Maximum Subarray,51.7%,Medium,64.7,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
26,Find Median from Data Stream,53.0%,Hard,64.7,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
27,String to Integer (atoi),18.7%,Medium,60.4,https://leetcode.com/problems/string-to-integer-atoi,String
28,Rectangle Area,47.2%,Medium,60.4,https://leetcode.com/problems/rectangle-area,"Math, Geometry"
29,Kth Largest Element in an Array,67.6%,Medium,60.4,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
30,Insert Delete GetRandom O(1),54.9%,Medium,60.4,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
31,Find the Duplicate Number,62.3%,Medium,60.4,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
32,Trapping Rain Water,64.3%,Hard,60.4,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
33,Intersection of Two Linked Lists,60.3%,Easy,55.2,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
34,Maximal Square,48.2%,Medium,55.2,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
35,Generate Parentheses,76.5%,Medium,55.2,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
36,Reverse Linked List II,49.1%,Medium,55.2,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
37,Validate Binary Search Tree,34.0%,Medium,55.2,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
38,Binary Tree Maximum Path Sum,40.9%,Hard,55.2,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
39,H-Index,39.9%,Medium,55.2,https://leetcode.com/problems/h-index,"Array, Sorting, Counting Sort"
40,Break a Palindrome,51.5%,Medium,55.2,https://leetcode.com/problems/break-a-palindrome,"String, Greedy"
41,Snapshot Array,36.8%,Medium,55.2,https://leetcode.com/problems/snapshot-array,"Array, Hash Table, Binary Search, Design"
42,Single Element in a Sorted Array,59.2%,Medium,55.2,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
43,Keys and Rooms,74.2%,Medium,48.5,https://leetcode.com/problems/keys-and-rooms,"Depth-First Search, Breadth-First Search, Graph"
44,Is Subsequence,48.2%,Easy,48.5,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
45,Best Time to Buy and Sell Stock IV,46.0%,Hard,48.5,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,"Array, Dynamic Programming"
46,Minimum Add to Make Parentheses Valid,74.7%,Medium,48.5,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid,"String, Stack, Greedy"
