ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,LRU Cache,44.4%,Medium,100.0,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
2,Longest Increasing Subsequence,57.2%,Medium,96.1,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
3,Merge Intervals,48.8%,Medium,89.6,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
4,Number of Islands,61.6%,Medium,88.6,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
5,Two Sum,55.1%,Easy,87.7,https://leetcode.com/problems/two-sum,"Array, Hash Table"
6,Longest Substring Without Repeating Characters,36.3%,Medium,86.6,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
7,Longest Palindromic Substring,35.3%,Medium,84.4,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
8,Container With Most Water,57.2%,Medium,76.1,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
9,Meeting Rooms II,51.9%,Medium,74.3,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
10,Add Two Numbers,45.4%,Medium,72.5,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
11,Remove Duplicate Letters,50.8%,Medium,72.5,https://leetcode.com/problems/remove-duplicate-letters,"String, Stack, Greedy, Monotonic Stack"
12,Search in Rotated Sorted Array,42.3%,Medium,72.5,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
13,Longest Consecutive Sequence,47.2%,Medium,70.4,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
14,Group Anagrams,70.3%,Medium,70.4,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
15,Find Median from Data Stream,53.0%,Hard,70.4,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
16,Trapping Rain Water,64.3%,Hard,68.2,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
