ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,LRU Cache,44.4%,Medium,100.0,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
2,Number of Islands,61.6%,Medium,92.5,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
3,Two Sum,55.1%,Easy,91.2,https://leetcode.com/problems/two-sum,"Array, Hash Table"
4,Merge Intervals,48.8%,Medium,89.0,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
5,Longest Substring Without Repeating Characters,36.3%,Medium,86.7,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
6,Longest Palindromic Substring,35.3%,Medium,82.2,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
7,Group Anagrams,70.3%,Medium,81.2,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
8,Container With Most Water,57.2%,Medium,72.4,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
9,Trapping Rain Water,64.3%,Hard,72.4,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
10,Add Two Numbers,45.4%,Medium,70.8,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
11,Spiral Matrix,52.9%,Medium,69.2,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
12,Longest Consecutive Sequence,47.2%,Medium,69.2,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
13,Search in Rotated Sorted Array,42.3%,Medium,69.2,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
14,Binary Tree Right Side View,65.6%,Medium,69.2,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
15,3Sum,36.4%,Medium,67.3,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
16,Merge k Sorted Lists,55.8%,Hard,67.3,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
17,Jump Game,39.1%,Medium,65.3,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
18,"Pow(x, n)",36.5%,Medium,65.3,https://leetcode.com/problems/powx-n,"Math, Recursion"
19,Maximum Subarray,51.7%,Medium,63.2,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
20,Best Time to Buy and Sell Stock,54.8%,Easy,63.2,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
21,Roman to Integer,64.2%,Easy,63.2,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
22,Merge Two Sorted Lists,66.3%,Easy,63.2,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
23,Reverse Linked List,78.7%,Easy,63.2,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
24,Course Schedule II,52.6%,Medium,60.8,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
25,Binary Tree Maximum Path Sum,40.9%,Hard,60.8,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
26,Jump Game II,41.1%,Medium,58.1,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
27,Word Search,44.6%,Medium,58.1,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
28,Binary Tree Zigzag Level Order Traversal,61.0%,Medium,58.1,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
29,First Missing Positive,40.6%,Hard,58.1,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
30,Combination Sum,73.9%,Medium,58.1,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
31,Gas Station,46.0%,Medium,58.1,https://leetcode.com/problems/gas-station,"Array, Greedy"
32,Linked List Cycle,52.0%,Easy,58.1,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
33,Min Stack,55.9%,Medium,58.1,https://leetcode.com/problems/min-stack,"Stack, Design"
34,Kth Largest Element in an Array,67.6%,Medium,55.0,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
35,Set Matrix Zeroes,58.9%,Medium,55.0,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
36,Course Schedule,48.5%,Medium,55.0,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
37,Copy List with Random Pointer,59.5%,Medium,55.0,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
