ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Valid Parentheses,41.8%,Easy,100.0,https://leetcode.com/problems/valid-parentheses,"String, Stack"
2,Merge Intervals,48.8%,Medium,81.4,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
3,Squares of a Sorted Array,73.1%,Easy,81.4,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
4,Department Top Three Salaries,56.8%,Hard,81.4,https://leetcode.com/problems/department-top-three-salaries,Database
5,Two Sum,55.1%,Easy,74.8,https://leetcode.com/problems/two-sum,"Array, Hash Table"
6,Move Zeroes,62.5%,Easy,74.8,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
7,Monotonic Array,61.6%,Easy,74.8,https://leetcode.com/problems/monotonic-array,Array
8,Remove Duplicates from Sorted Array,59.5%,Easy,65.5,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
9,Number of Islands,61.6%,Medium,65.5,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
10,Reverse Linked List,78.7%,Easy,65.5,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
11,Merge Sorted Array,52.3%,Easy,65.5,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
12,First Unique Character in a String,63.2%,Easy,65.5,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
13,Invert Binary Tree,78.6%,Easy,65.5,https://leetcode.com/problems/invert-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
14,Best Time to Buy and Sell Stock,54.8%,Easy,65.5,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
