ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Find Beautiful Indices in the Given Array I,37.8%,Medium,100.0,https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-i,"Two Pointers, String, Binary Search, Rolling Hash, String Matching, Hash Function"
2,Find Beautiful Indices in the Given Array II,25.9%,Hard,95.9,https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-ii,"Two Pointers, String, Binary Search, Rolling Hash, String Matching, Hash Function"
3,Minimum Time Difference,62.3%,Medium,86.0,https://leetcode.com/problems/minimum-time-difference,"Array, Math, String, Sorting"
4,LRU Cache,44.4%,Medium,86.0,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
5,Integer to English Words,34.3%,Hard,86.0,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
6,Range Sum Query - Immutable,67.3%,Easy,84.1,https://leetcode.com/problems/range-sum-query-immutable,"Array, Design, Prefix Sum"
7,Contains Duplicate II,48.1%,Easy,84.1,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
8,Selling Pieces of Wood,51.2%,Hard,82.1,https://leetcode.com/problems/selling-pieces-of-wood,"Array, Dynamic Programming, Memoization"
9,Maximum Size Subarray Sum Equals k,50.2%,Medium,82.1,https://leetcode.com/problems/maximum-size-subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
10,Check If It Is a Straight Line,39.6%,Easy,82.1,https://leetcode.com/problems/check-if-it-is-a-straight-line,"Array, Math, Geometry"
11,Single Number,75.3%,Easy,82.1,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
12,Contains Duplicate,62.8%,Easy,82.1,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
13,Contains Duplicate III,23.4%,Hard,82.1,https://leetcode.com/problems/contains-duplicate-iii,"Array, Sliding Window, Sorting, Bucket Sort, Ordered Set"
14,Merge k Sorted Lists,55.8%,Hard,71.1,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
15,Construct Quad Tree,76.7%,Medium,62.4,https://leetcode.com/problems/construct-quad-tree,"Array, Divide and Conquer, Tree, Matrix"
16,Shortest Word Distance III,58.9%,Medium,56.2,https://leetcode.com/problems/shortest-word-distance-iii,"Array, String"
17,Number of Islands,61.6%,Medium,56.2,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
18,Minimum Equal Sum of Two Arrays After Replacing Zeros,36.3%,Medium,56.2,https://leetcode.com/problems/minimum-equal-sum-of-two-arrays-after-replacing-zeros,"Array, Greedy"
19,Find Players With Zero or One Losses,72.8%,Medium,56.2,https://leetcode.com/problems/find-players-with-zero-or-one-losses,"Array, Hash Table, Sorting, Counting"
20,Count the Number of Good Subsequences,52.0%,Medium,56.2,https://leetcode.com/problems/count-the-number-of-good-subsequences,"Hash Table, Math, String, Combinatorics, Counting"
21,Flood Fill,65.8%,Easy,47.6,https://leetcode.com/problems/flood-fill,"Array, Depth-First Search, Breadth-First Search, Matrix"
22,Accounts Merge,58.9%,Medium,47.6,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
23,Best Time to Buy and Sell Stock,54.8%,Easy,47.6,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
24,Merge Intervals,48.8%,Medium,47.6,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
25,All Ancestors of a Node in a Directed Acyclic Graph,62.0%,Medium,47.6,https://leetcode.com/problems/all-ancestors-of-a-node-in-a-directed-acyclic-graph,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
26,Number of Divisible Triplet Sums,66.0%,Medium,47.6,https://leetcode.com/problems/number-of-divisible-triplet-sums,"Array, Hash Table"
27,Trapping Rain Water II,58.7%,Hard,47.6,https://leetcode.com/problems/trapping-rain-water-ii,"Array, Breadth-First Search, Heap (Priority Queue), Matrix"
28,Sort List,60.9%,Medium,47.6,https://leetcode.com/problems/sort-list,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort"
