ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Find the Longest Equal Subarray,36.4%,Medium,100.0,https://leetcode.com/problems/find-the-longest-equal-subarray,"Array, Hash Table, Binary Search, Sliding Window"
2,Longest Substring Without Repeating Characters,36.3%,Medium,83.6,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
3,String Compression,57.3%,Medium,83.6,https://leetcode.com/problems/string-compression,"Two Pointers, String"
4,LRU Cache,44.4%,Medium,83.6,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
5,Maximum Length of a Concatenated String with Unique Characters,54.2%,Medium,78.3,https://leetcode.com/problems/maximum-length-of-a-concatenated-string-with-unique-characters,"Array, String, Backtracking, Bit Manipulation"
6,Minimum Path Sum,65.8%,Medium,71.6,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
7,Median of Two Sorted Arrays,42.9%,Hard,71.6,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
8,Meeting Rooms,58.8%,Easy,71.6,https://leetcode.com/problems/meeting-rooms,"Array, Sorting"
9,Min Stack,55.9%,Medium,71.6,https://leetcode.com/problems/min-stack,"Stack, Design"
10,Group Anagrams,70.3%,Medium,71.6,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
11,Binary Tree Level Order Traversal,69.8%,Medium,62.0,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
12,Word Break,47.9%,Medium,62.0,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
13,Design HashMap,65.7%,Easy,62.0,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
14,Two Sum,55.1%,Easy,62.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
15,Merge Sorted Array,52.3%,Easy,62.0,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
16,Merge Two Sorted Lists,66.3%,Easy,62.0,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
17,Integer to Roman,67.9%,Medium,62.0,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
18,Shortest Path in Binary Matrix,49.2%,Medium,62.0,https://leetcode.com/problems/shortest-path-in-binary-matrix,"Array, Breadth-First Search, Matrix"
