ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Zigzag Conversion,50.8%,Medium,100.0,https://leetcode.com/problems/zigzag-conversion,String
2,Minimum Replacements to Sort the Array,53.3%,Hard,78.4,https://leetcode.com/problems/minimum-replacements-to-sort-the-array,"Array, Math, Greedy"
3,Best Time to Buy and Sell Stock,54.8%,Easy,73.5,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
4,LRU Cache,44.4%,Medium,70.6,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
5,Group Anagrams,70.3%,Medium,70.6,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
6,Pairs of Songs With Total Durations Divisible by 60,53.2%,Medium,67.2,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,"Array, Hash Table, Counting"
7,Merge Sorted Array,52.3%,Easy,67.2,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
8,Trapping Rain Water,64.3%,Hard,67.2,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
9,Two Sum,55.1%,Easy,67.2,https://leetcode.com/problems/two-sum,"Array, Hash Table"
10,Reorganize String,55.8%,Medium,63.3,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
11,Subarray Sum Equals K,44.9%,Medium,63.3,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
12,Word Search,44.6%,Medium,58.4,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
13,Longest Substring Without Repeating Characters,36.3%,Medium,58.4,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
14,Top K Frequent Elements,64.1%,Medium,58.4,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
15,Meeting Rooms III,44.0%,Hard,58.4,https://leetcode.com/problems/meeting-rooms-iii,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
16,Count the Number of Vowel Strings in Range,74.5%,Easy,58.4,https://leetcode.com/problems/count-the-number-of-vowel-strings-in-range,"Array, String, Counting"
17,Find the Smallest Divisor Given a Threshold,62.6%,Medium,58.4,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,"Array, Binary Search"
18,Number of Islands,61.6%,Medium,58.4,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
19,Merge Intervals,48.8%,Medium,58.4,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
20,Count Vowel Substrings of a String,69.9%,Easy,58.4,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
21,Count Vowel Strings in Ranges,67.9%,Medium,52.2,https://leetcode.com/problems/count-vowel-strings-in-ranges,"Array, String, Prefix Sum"
22,Valid Parentheses,41.8%,Easy,52.2,https://leetcode.com/problems/valid-parentheses,"String, Stack"
23,Find First and Last Position of Element in Sorted Array,46.1%,Medium,52.2,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
24,Maximum Frequency Stack,66.7%,Hard,52.2,https://leetcode.com/problems/maximum-frequency-stack,"Hash Table, Stack, Design, Ordered Set"
25,Time Needed to Rearrange a Binary String,51.5%,Medium,52.2,https://leetcode.com/problems/time-needed-to-rearrange-a-binary-string,"String, Dynamic Programming, Simulation"
26,Longest Increasing Subsequence,57.2%,Medium,52.2,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
27,Maximum Product Subarray,34.5%,Medium,52.2,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
28,Sort Colors,66.4%,Medium,52.2,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
29,Reverse Linked List,78.7%,Easy,52.2,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
