ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Zigzag Conversion,50.8%,Medium,100.0,https://leetcode.com/problems/zigzag-conversion,String
2,Count Vowel Strings in Ranges,67.9%,Medium,78.7,https://leetcode.com/problems/count-vowel-strings-in-ranges,"Array, String, Prefix Sum"
3,Count the Number of Vowel Strings in Range,74.5%,Easy,78.7,https://leetcode.com/problems/count-the-number-of-vowel-strings-in-range,"Array, String, Counting"
4,Maximum Frequency Score of a Subarray,34.7%,Hard,76.8,https://leetcode.com/problems/maximum-frequency-score-of-a-subarray,"Array, Hash Table, Math, Stack, Sliding Window"
5,Meeting Scheduler,55.2%,Medium,76.8,https://leetcode.com/problems/meeting-scheduler,"Array, Two Pointers, Sorting"
6,Maximum Number of Integers to Choose From a Range I,68.1%,Medium,76.8,https://leetcode.com/problems/maximum-number-of-integers-to-choose-from-a-range-i,"Array, Hash Table, Binary Search, Greedy, Sorting"
7,Time Needed to Rearrange a Binary String,51.5%,Medium,76.8,https://leetcode.com/problems/time-needed-to-rearrange-a-binary-string,"String, Dynamic Programming, Simulation"
8,Minimum Replacements to Sort the Array,53.3%,Hard,76.8,https://leetcode.com/problems/minimum-replacements-to-sort-the-array,"Array, Math, Greedy"
9,Count Array Pairs Divisible by K,29.7%,Hard,76.8,https://leetcode.com/problems/count-array-pairs-divisible-by-k,"Array, Math, Number Theory"
10,LRU Cache,44.4%,Medium,76.8,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
11,Best Time to Buy and Sell Stock,54.8%,Easy,76.8,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
12,Number of Valid Move Combinations On Chessboard,51.0%,Hard,76.8,https://leetcode.com/problems/number-of-valid-move-combinations-on-chessboard,"Array, String, Backtracking, Simulation"
13,Smallest Greater Multiple Made of Two Digits,48.2%,Medium,74.6,https://leetcode.com/problems/smallest-greater-multiple-made-of-two-digits,"Math, Enumeration"
14,Maximum Sum Obtained of Any Permutation,38.9%,Medium,74.6,https://leetcode.com/problems/maximum-sum-obtained-of-any-permutation,"Array, Greedy, Sorting, Prefix Sum"
15,Paint House III,61.0%,Hard,74.6,https://leetcode.com/problems/paint-house-iii,"Array, Dynamic Programming"
16,Maximum Number of Integers to Choose From a Range II,35.7%,Medium,74.6,https://leetcode.com/problems/maximum-number-of-integers-to-choose-from-a-range-ii,"Array, Binary Search, Greedy, Sorting"
17,Two Sum,55.1%,Easy,74.6,https://leetcode.com/problems/two-sum,"Array, Hash Table"
18,Minimum Non-Zero Product of the Array Elements,36.2%,Medium,74.6,https://leetcode.com/problems/minimum-non-zero-product-of-the-array-elements,"Math, Greedy, Recursion"
19,Pairs of Songs With Total Durations Divisible by 60,53.2%,Medium,72.3,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,"Array, Hash Table, Counting"
20,Group Anagrams,70.3%,Medium,72.3,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
21,Number of Islands,61.6%,Medium,69.6,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
22,Trapping Rain Water,64.3%,Hard,63.2,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
23,Subarray Sum Equals K,44.9%,Medium,63.2,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
24,Merge Sorted Array,52.3%,Easy,63.2,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
25,Product of Array Except Self,67.4%,Medium,63.2,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
26,Coin Change,45.8%,Medium,63.2,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
27,Maximal Square,48.2%,Medium,63.2,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
28,Longest Increasing Subsequence,57.2%,Medium,63.2,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
29,Longest Substring Without Repeating Characters,36.3%,Medium,63.2,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
30,Word Search,44.6%,Medium,59.1,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
31,Minimum Absolute Difference,70.3%,Easy,59.1,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
32,Reorganize String,55.8%,Medium,59.1,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
33,Top K Frequent Elements,64.1%,Medium,59.1,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
34,Loud and Rich,61.0%,Medium,59.1,https://leetcode.com/problems/loud-and-rich,"Array, Depth-First Search, Graph, Topological Sort"
35,Merge Intervals,48.8%,Medium,59.1,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
36,Find the Smallest Divisor Given a Threshold,62.6%,Medium,59.1,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,"Array, Binary Search"
37,Valid Parentheses,41.8%,Easy,54.1,https://leetcode.com/problems/valid-parentheses,"String, Stack"
38,Meeting Rooms III,44.0%,Hard,54.1,https://leetcode.com/problems/meeting-rooms-iii,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
