ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Min Stack,55.9%,Medium,100.0,https://leetcode.com/problems/min-stack,"Stack, Design"
2,Number of Divisible Substrings,73.5%,Medium,90.9,https://leetcode.com/problems/number-of-divisible-substrings,"Hash Table, String, Counting, Prefix Sum"
3,Linked List Cycle II,54.0%,Medium,84.9,https://leetcode.com/problems/linked-list-cycle-ii,"Hash Table, Linked List, Two Pointers"
4,Next Permutation,42.3%,Medium,84.9,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
5,3Sum,36.4%,Medium,77.1,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
6,Trapping Rain Water,64.3%,Hard,77.1,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
7,Remove All Adjacent Duplicates In String,71.1%,Easy,77.1,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,"String, Stack"
8,Longest Nice Subarray,52.3%,Medium,66.2,https://leetcode.com/problems/longest-nice-subarray,"Array, Bit Manipulation, Sliding Window"
9,Minimize Maximum of Array,46.4%,Medium,66.2,https://leetcode.com/problems/minimize-maximum-of-array,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
10,Find Indices With Index and Value Difference II,32.0%,Medium,66.2,https://leetcode.com/problems/find-indices-with-index-and-value-difference-ii,"Array, Two Pointers"
11,Number of Unequal Triplets in Array,72.0%,Easy,66.2,https://leetcode.com/problems/number-of-unequal-triplets-in-array,"Array, Hash Table, Sorting"
12,Palindrome Number,58.7%,Easy,66.2,https://leetcode.com/problems/palindrome-number,Math
13,Find Indices With Index and Value Difference I,60.8%,Easy,66.2,https://leetcode.com/problems/find-indices-with-index-and-value-difference-i,"Array, Two Pointers"
14,Reverse Linked List,78.7%,Easy,66.2,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
15,Two Sum,55.1%,Easy,66.2,https://leetcode.com/problems/two-sum,"Array, Hash Table"
16,Longest Palindromic Substring,35.3%,Medium,66.2,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
17,Reverse Words in a String,50.1%,Medium,66.2,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
18,Unique Number of Occurrences,78.0%,Easy,66.2,https://leetcode.com/problems/unique-number-of-occurrences,"Array, Hash Table"
19,Largest Number,40.9%,Medium,66.2,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
20,Number of Operations to Make Network Connected,64.1%,Medium,66.2,https://leetcode.com/problems/number-of-operations-to-make-network-connected,"Depth-First Search, Breadth-First Search, Union Find, Graph"
21,Container With Most Water,57.2%,Medium,66.2,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
22,Find the Duplicate Number,62.3%,Medium,66.2,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
23,Move Zeroes,62.5%,Easy,66.2,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
24,Product of Array Except Self,67.4%,Medium,66.2,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
25,Find Minimum in Rotated Sorted Array,52.2%,Medium,66.2,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
26,Longest Consecutive Sequence,47.2%,Medium,66.2,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
27,Word Search,44.6%,Medium,66.2,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
28,Permutations,80.1%,Medium,66.2,https://leetcode.com/problems/permutations,"Array, Backtracking"
29,Valid Parentheses,41.8%,Easy,66.2,https://leetcode.com/problems/valid-parentheses,"String, Stack"
