ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Remove All Adjacent Duplicates In String,71.1%,Easy,100.0,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,"String, Stack"
2,Number of Unequal Triplets in Array,72.0%,Easy,97.6,https://leetcode.com/problems/number-of-unequal-triplets-in-array,"Array, Hash Table, Sorting"
3,Minimize Maximum of Array,46.4%,Medium,97.6,https://leetcode.com/problems/minimize-maximum-of-array,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
4,Longest Nice Subarray,52.3%,Medium,97.6,https://leetcode.com/problems/longest-nice-subarray,"Array, Bit Manipulation, Sliding Window"
5,Find Indices With Index and Value Difference I,60.8%,Easy,97.6,https://leetcode.com/problems/find-indices-with-index-and-value-difference-i,"Array, Two Pointers"
6,Find Indices With Index and Value Difference II,32.0%,Medium,97.6,https://leetcode.com/problems/find-indices-with-index-and-value-difference-ii,"Array, Two Pointers"
7,Min Stack,55.9%,Medium,91.9,https://leetcode.com/problems/min-stack,"Stack, Design"
8,Linked List Cycle II,54.0%,Medium,80.0,https://leetcode.com/problems/linked-list-cycle-ii,"Hash Table, Linked List, Two Pointers"
9,Number of Divisible Substrings,73.5%,Medium,80.0,https://leetcode.com/problems/number-of-divisible-substrings,"Hash Table, String, Counting, Prefix Sum"
10,Next Permutation,42.3%,Medium,74.3,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
11,Valid Parentheses,41.8%,Easy,74.3,https://leetcode.com/problems/valid-parentheses,"String, Stack"
12,Find the Duplicate Number,62.3%,Medium,67.0,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
13,Container With Most Water,57.2%,Medium,67.0,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
14,Longest Palindromic Substring,35.3%,Medium,67.0,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
15,Find Minimum in Rotated Sorted Array,52.2%,Medium,67.0,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
16,Longest Consecutive Sequence,47.2%,Medium,67.0,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
17,Trapping Rain Water,64.3%,Hard,67.0,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
18,3Sum,36.4%,Medium,67.0,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
19,Two Sum,55.1%,Easy,67.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
20,Validate Binary Search Tree,34.0%,Medium,56.8,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
21,Second Highest Salary,43.0%,Medium,56.8,https://leetcode.com/problems/second-highest-salary,Database
22,Best Time to Buy and Sell Stock II,68.9%,Medium,56.8,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
23,Execute Asynchronous Functions in Parallel,77.0%,Medium,56.8,https://leetcode.com/problems/execute-asynchronous-functions-in-parallel,
24,String Compression,57.3%,Medium,56.8,https://leetcode.com/problems/string-compression,"Two Pointers, String"
25,Palindrome Number,58.7%,Easy,56.8,https://leetcode.com/problems/palindrome-number,Math
26,Reverse Linked List,78.7%,Easy,56.8,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
27,Largest Number,40.9%,Medium,56.8,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
28,Number of Operations to Make Network Connected,64.1%,Medium,56.8,https://leetcode.com/problems/number-of-operations-to-make-network-connected,"Depth-First Search, Breadth-First Search, Union Find, Graph"
29,Unique Number of Occurrences,78.0%,Easy,56.8,https://leetcode.com/problems/unique-number-of-occurrences,"Array, Hash Table"
30,Move Zeroes,62.5%,Easy,56.8,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
31,Product of Array Except Self,67.4%,Medium,56.8,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
32,Reverse Words in a String,50.1%,Medium,56.8,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
33,Word Search,44.6%,Medium,56.8,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
34,Permutations,80.1%,Medium,56.8,https://leetcode.com/problems/permutations,"Array, Backtracking"
35,Sum of Subarray Minimums,37.4%,Medium,56.8,https://leetcode.com/problems/sum-of-subarray-minimums,"Array, Dynamic Programming, Stack, Monotonic Stack"
