ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Frog Jump,46.4%,Hard,100.0,https://leetcode.com/problems/frog-jump,"Array, Dynamic Programming"
2,Decoded String at Index,36.6%,Medium,91.2,https://leetcode.com/problems/decoded-string-at-index,"String, Stack"
3,Burst Balloons,60.6%,Hard,89.3,https://leetcode.com/problems/burst-balloons,"Array, Dynamic Programming"
4,Remove K Digits,34.4%,Medium,76.9,https://leetcode.com/problems/remove-k-digits,"String, Stack, Greedy, Monotonic Stack"
5,Frequency of the Most Frequent Element,44.0%,Medium,73.3,https://leetcode.com/problems/frequency-of-the-most-frequent-element,"Array, Binary Search, Greedy, Sliding Window, Sorting, Prefix Sum"
6,Maximum Profit in Job Scheduling,54.3%,Hard,73.3,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
7,House Robber II,43.1%,Medium,69.1,https://leetcode.com/problems/house-robber-ii,"Array, Dynamic Programming"
8,Bus Routes,47.1%,Hard,69.1,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
9,Trapping Rain Water,64.3%,Hard,69.1,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
10,Best Time to Buy and Sell Stock,54.8%,Easy,69.1,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
11,Most Stones Removed with Same Row or Column,62.1%,Medium,63.9,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column,"Hash Table, Depth-First Search, Union Find, Graph"
12,Reachable Nodes In Subdivided Graph,50.7%,Hard,63.9,https://leetcode.com/problems/reachable-nodes-in-subdivided-graph,"Graph, Heap (Priority Queue), Shortest Path"
13,Gas Station,46.0%,Medium,63.9,https://leetcode.com/problems/gas-station,"Array, Greedy"
14,Split Array Largest Sum,57.4%,Hard,63.9,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
15,Distribute Coins in Binary Tree,77.2%,Medium,63.9,https://leetcode.com/problems/distribute-coins-in-binary-tree,"Tree, Depth-First Search, Binary Tree"
16,Smallest Range Covering Elements from K Lists,69.8%,Hard,63.9,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,"Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)"
17,Koko Eating Bananas,48.8%,Medium,63.9,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
18,House Robber III,54.7%,Medium,57.3,https://leetcode.com/problems/house-robber-iii,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
19,IPO,53.0%,Hard,57.3,https://leetcode.com/problems/ipo,"Array, Greedy, Sorting, Heap (Priority Queue)"
20,Accounts Merge,58.9%,Medium,57.3,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
21,Candy,44.4%,Hard,57.3,https://leetcode.com/problems/candy,"Array, Greedy"
22,Number of Islands,61.6%,Medium,57.3,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
23,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,56.7%,Medium,57.3,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
24,Jump Game II,41.1%,Medium,57.3,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
25,House Robber,52.0%,Medium,57.3,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
26,Maximum Tastiness of Candy Basket,65.5%,Medium,57.3,https://leetcode.com/problems/maximum-tastiness-of-candy-basket,"Array, Binary Search, Greedy, Sorting"
27,Simple Bank System,63.4%,Medium,57.3,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
