ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Frog Jump,46.4%,Hard,100.0,https://leetcode.com/problems/frog-jump,"Array, Dynamic Programming"
2,Decoded String at Index,36.6%,Medium,92.5,https://leetcode.com/problems/decoded-string-at-index,"String, Stack"
3,Burst Balloons,60.6%,Hard,92.5,https://leetcode.com/problems/burst-balloons,"Array, Dynamic Programming"
4,Simple Bank System,63.4%,Medium,86.6,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
5,Smallest String With Swaps,59.2%,Medium,86.6,https://leetcode.com/problems/smallest-string-with-swaps,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
6,Maximum Tastiness of Candy Basket,65.5%,Medium,86.6,https://leetcode.com/problems/maximum-tastiness-of-candy-basket,"Array, Binary Search, Greedy, Sorting"
7,Frequencies of Shortest Supersequences,24.0%,Hard,84.3,https://leetcode.com/problems/frequencies-of-shortest-supersequences,"Array, String, Bit Manipulation, Graph, Topological Sort, Enumeration"
8,Find Beautiful Indices in the Given Array II,25.9%,Hard,84.3,https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-ii,"Two Pointers, String, Binary Search, Rolling Hash, String Matching, Hash Function"
9,Count the Number of Arrays with K Matching Adjacent Elements,37.6%,Hard,84.3,https://leetcode.com/problems/count-the-number-of-arrays-with-k-matching-adjacent-elements,"Math, Combinatorics"
10,Viewers Turned Streamers,43.4%,Hard,84.3,https://leetcode.com/problems/viewers-turned-streamers,Database
11,Check if Point Is Reachable,43.6%,Hard,84.3,https://leetcode.com/problems/check-if-point-is-reachable,"Math, Number Theory"
12,Smallest Range Covering Elements from K Lists,69.8%,Hard,84.3,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,"Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)"
13,Maximum Amount of Money Robot Can Earn,29.8%,Medium,84.3,https://leetcode.com/problems/maximum-amount-of-money-robot-can-earn,"Array, Dynamic Programming, Matrix"
14,Remove K Digits,34.4%,Medium,78.8,https://leetcode.com/problems/remove-k-digits,"String, Stack, Greedy, Monotonic Stack"
15,Trapping Rain Water,64.3%,Hard,78.8,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
16,Maximum Profit in Job Scheduling,54.3%,Hard,75.5,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
17,Most Stones Removed with Same Row or Column,62.1%,Medium,75.5,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column,"Hash Table, Depth-First Search, Union Find, Graph"
18,Bus Routes,47.1%,Hard,71.8,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
19,Longest Palindromic Substring,35.3%,Medium,71.8,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
20,Frequency of the Most Frequent Element,44.0%,Medium,71.8,https://leetcode.com/problems/frequency-of-the-most-frequent-element,"Array, Binary Search, Greedy, Sliding Window, Sorting, Prefix Sum"
21,Queue Reconstruction by Height,74.0%,Medium,67.3,https://leetcode.com/problems/queue-reconstruction-by-height,"Array, Binary Indexed Tree, Segment Tree, Sorting"
22,House Robber II,43.1%,Medium,67.3,https://leetcode.com/problems/house-robber-ii,"Array, Dynamic Programming"
23,Split Array Largest Sum,57.4%,Hard,67.3,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
24,Candy,44.4%,Hard,67.3,https://leetcode.com/problems/candy,"Array, Greedy"
25,Best Time to Buy and Sell Stock,54.8%,Easy,67.3,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
26,House Robber,52.0%,Medium,67.3,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
27,Accounts Merge,58.9%,Medium,61.9,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
28,Koko Eating Bananas,48.8%,Medium,61.9,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
29,Jump Game II,41.1%,Medium,61.9,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
30,Word Ladder,41.8%,Hard,61.9,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
31,IPO,53.0%,Hard,61.9,https://leetcode.com/problems/ipo,"Array, Greedy, Sorting, Heap (Priority Queue)"
32,Gas Station,46.0%,Medium,61.9,https://leetcode.com/problems/gas-station,"Array, Greedy"
33,Make Lexicographically Smallest Array by Swapping Elements,60.5%,Medium,61.9,https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements,"Array, Union Find, Sorting"
34,Distribute Coins in Binary Tree,77.2%,Medium,61.9,https://leetcode.com/problems/distribute-coins-in-binary-tree,"Tree, Depth-First Search, Binary Tree"
