ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Reverse Linked List,78.7%,Easy,100.0,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
2,Middle of the Linked List,80.1%,Easy,91.0,https://leetcode.com/problems/middle-of-the-linked-list,"Linked List, Two Pointers"
3,LRU Cache,44.4%,Medium,91.0,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
4,Swap Nodes in Pairs,66.5%,Medium,91.0,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
5,Palindrome Number,58.7%,Easy,78.4,https://leetcode.com/problems/palindrome-number,Math
6,Single Number,75.3%,Easy,78.4,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
7,Serialize and Deserialize Binary Tree,58.4%,Hard,78.4,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
8,Average of Levels in Binary Tree,73.8%,Easy,78.4,https://leetcode.com/problems/average-of-levels-in-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
9,Remove Nth Node From End of List,48.1%,Medium,78.4,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
10,String Compression III,68.1%,Medium,78.4,https://leetcode.com/problems/string-compression-iii,String
11,Maximum Number of Ones,68.5%,Hard,78.4,https://leetcode.com/problems/maximum-number-of-ones,"Math, Greedy, Sorting, Heap (Priority Queue)"
12,Design Memory Allocator,53.5%,Medium,78.4,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
13,Palindrome Linked List,55.2%,Easy,78.4,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
14,Power of Two,48.2%,Easy,78.4,https://leetcode.com/problems/power-of-two,"Math, Bit Manipulation, Recursion"
15,Valid Parentheses,41.8%,Easy,78.4,https://leetcode.com/problems/valid-parentheses,"String, Stack"
16,Number of 1 Bits,73.8%,Easy,78.4,https://leetcode.com/problems/number-of-1-bits,"Divide and Conquer, Bit Manipulation"
17,Rotate Image,77.2%,Medium,78.4,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
18,Longest Substring Without Repeating Characters,36.3%,Medium,78.4,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
19,Find Winner on a Tic Tac Toe Game,54.1%,Easy,78.4,https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game,"Array, Hash Table, Matrix, Simulation"
20,Min Stack,55.9%,Medium,78.4,https://leetcode.com/problems/min-stack,"Stack, Design"
21,Climbing Stairs,53.3%,Easy,78.4,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
22,Maximum Subarray,51.7%,Medium,78.4,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
23,Reverse Nodes in k-Group,62.0%,Hard,78.4,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
24,Reverse Bits,62.2%,Easy,78.4,https://leetcode.com/problems/reverse-bits,"Divide and Conquer, Bit Manipulation"
