ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,String Compression III,68.1%,Medium,100.0,https://leetcode.com/problems/string-compression-iii,String
2,Maximum Number of Ones,68.5%,Hard,97.6,https://leetcode.com/problems/maximum-number-of-ones,"Math, Greedy, Sorting, Heap (Priority Queue)"
3,LRU Cache,44.4%,Medium,74.7,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
4,Reverse Linked List,78.7%,Easy,74.7,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
5,Reverse Bits,62.2%,Easy,67.5,https://leetcode.com/problems/reverse-bits,"Divide and Conquer, Bit Manipulation"
6,Palindrome Number,58.7%,Easy,67.5,https://leetcode.com/problems/palindrome-number,Math
7,Valid Parentheses,41.8%,Easy,67.5,https://leetcode.com/problems/valid-parentheses,"String, Stack"
8,Swap Nodes in Pairs,66.5%,Medium,67.5,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
9,Middle of the Linked List,80.1%,Easy,67.5,https://leetcode.com/problems/middle-of-the-linked-list,"Linked List, Two Pointers"
10,Rotate Image,77.2%,Medium,67.5,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
11,Climbing Stairs,53.3%,Easy,67.5,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
12,Serialize and Deserialize Binary Tree,58.4%,Hard,67.5,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
13,Power of Two,48.2%,Easy,67.5,https://leetcode.com/problems/power-of-two,"Math, Bit Manipulation, Recursion"
14,Number of Islands,61.6%,Medium,67.5,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
15,Length of Last Word,55.4%,Easy,57.4,https://leetcode.com/problems/length-of-last-word,String
16,Remove Duplicates from Sorted Array,59.5%,Easy,57.4,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
17,Longest Substring Without Repeating Characters,36.3%,Medium,57.4,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
18,Implement Queue using Stacks,67.7%,Easy,57.4,https://leetcode.com/problems/implement-queue-using-stacks,"Stack, Design, Queue"
19,Best Time to Buy and Sell Stock II,68.9%,Medium,57.4,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
20,Remove Nth Node From End of List,48.1%,Medium,57.4,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
21,Design Tic-Tac-Toe,58.4%,Medium,57.4,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
22,"Pow(x, n)",36.5%,Medium,57.4,https://leetcode.com/problems/powx-n,"Math, Recursion"
23,Trapping Rain Water II,58.7%,Hard,57.4,https://leetcode.com/problems/trapping-rain-water-ii,"Array, Breadth-First Search, Heap (Priority Queue), Matrix"
24,Find Winner on a Tic Tac Toe Game,54.1%,Easy,57.4,https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game,"Array, Hash Table, Matrix, Simulation"
25,Design Memory Allocator,53.5%,Medium,57.4,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
26,Average of Levels in Binary Tree,73.8%,Easy,57.4,https://leetcode.com/problems/average-of-levels-in-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
27,Palindrome Linked List,55.2%,Easy,57.4,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
28,Number of 1 Bits,73.8%,Easy,57.4,https://leetcode.com/problems/number-of-1-bits,"Divide and Conquer, Bit Manipulation"
29,Min Stack,55.9%,Medium,57.4,https://leetcode.com/problems/min-stack,"Stack, Design"
30,Single Number,75.3%,Easy,57.4,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
31,Maximum Subarray,51.7%,Medium,57.4,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
32,Reverse Nodes in k-Group,62.0%,Hard,57.4,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
33,Two Sum,55.1%,Easy,57.4,https://leetcode.com/problems/two-sum,"Array, Hash Table"
