ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Longest Common Prefix,44.9%,Easy,100.0,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
2,Perfect Squares,55.4%,Medium,84.5,https://leetcode.com/problems/perfect-squares,"Math, Dynamic Programming, Breadth-First Search"
3,Reverse Linked List II,49.1%,Medium,84.5,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
4,Find All Anagrams in a String,51.8%,Medium,84.5,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
5,Remove Duplicates from Sorted List,54.4%,Easy,78.1,https://leetcode.com/problems/remove-duplicates-from-sorted-list,Linked List
6,Binary Tree Level Order Traversal II,65.4%,Medium,69.1,https://leetcode.com/problems/binary-tree-level-order-traversal-ii,"Tree, Breadth-First Search, Binary Tree"
7,Permutation in String,46.8%,Medium,69.1,https://leetcode.com/problems/permutation-in-string,"Hash Table, Two Pointers, String, Sliding Window"
8,Random Pick with Weight,48.2%,Medium,69.1,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
9,Merge Two Sorted Lists,66.3%,Easy,69.1,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
10,Binary Tree Paths,65.8%,Easy,69.1,https://leetcode.com/problems/binary-tree-paths,"String, Backtracking, Tree, Depth-First Search, Binary Tree"
