ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Design Browser History,77.9%,Medium,100.0,https://leetcode.com/problems/design-browser-history,"Array, Linked List, Stack, Design, Doubly-Linked List, Data Stream"
2,Reorganize String,55.8%,Medium,88.7,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
3,Design Hit Counter,69.0%,Medium,76.3,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
4,Minimum Number of Frogs Croaking,50.6%,Medium,74.5,https://leetcode.com/problems/minimum-number-of-frogs-croaking,"String, Counting"
5,Merge Intervals,48.8%,Medium,74.5,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
6,Split Message Based on Limit,43.1%,Hard,57.0,https://leetcode.com/problems/split-message-based-on-limit,"String, Binary Search, Enumeration"
7,Text Justification,47.1%,Hard,57.0,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
8,Rotate Image,77.2%,Medium,51.5,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
9,Minimum Falling Path Sum II,64.1%,Hard,51.5,https://leetcode.com/problems/minimum-falling-path-sum-ii,"Array, Dynamic Programming, Matrix"
10,Number of Flowers in Full Bloom,57.1%,Hard,51.5,https://leetcode.com/problems/number-of-flowers-in-full-bloom,"Array, Hash Table, Binary Search, Sorting, Prefix Sum, Ordered Set"
11,Convert Binary Number in a Linked List to Integer,81.2%,Easy,43.8,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer,"Linked List, Math"
12,Group the People Given the Group Size They Belong To,87.4%,Medium,43.8,https://leetcode.com/problems/group-the-people-given-the-group-size-they-belong-to,"Array, Hash Table, Greedy"
13,Subdomain Visit Count,76.7%,Medium,43.8,https://leetcode.com/problems/subdomain-visit-count,"Array, Hash Table, String, Counting"
14,Count Number of Nice Subarrays,72.4%,Medium,43.8,https://leetcode.com/problems/count-number-of-nice-subarrays,"Array, Hash Table, Math, Sliding Window, Prefix Sum"
15,Number of Trusted Contacts of a Customer,75.1%,Medium,43.8,https://leetcode.com/problems/number-of-trusted-contacts-of-a-customer,Database
16,Maximum Number of Occurrences of a Substring,53.0%,Medium,43.8,https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring,"Hash Table, String, Sliding Window"
17,Magnetic Force Between Two Balls,71.1%,Medium,43.8,https://leetcode.com/problems/magnetic-force-between-two-balls,"Array, Binary Search, Sorting"
18,Students and Examinations,60.3%,Easy,43.8,https://leetcode.com/problems/students-and-examinations,Database
19,Accounts Merge,58.9%,Medium,43.8,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
20,Task Scheduler,61.0%,Medium,43.8,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
21,Two Sum,55.1%,Easy,43.8,https://leetcode.com/problems/two-sum,"Array, Hash Table"
22,Valid Parentheses,41.8%,Easy,43.8,https://leetcode.com/problems/valid-parentheses,"String, Stack"
23,Minimum Absolute Difference Between Elements With Constraint,34.8%,Medium,43.8,https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint,"Array, Binary Search, Ordered Set"
24,Word Search II,37.0%,Hard,43.8,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
25,Unique Paths,65.4%,Medium,43.8,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
26,Best Time to Buy and Sell Stock,54.8%,Easy,43.8,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
27,Remove Colored Pieces if Both Neighbors are the Same Color,62.9%,Medium,43.8,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color,"Math, String, Greedy, Game Theory"
28,Word Search,44.6%,Medium,43.8,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
29,First Missing Positive,40.6%,Hard,43.8,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
30,Integer to English Words,34.3%,Hard,43.8,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
