ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Design Browser History,77.9%,Medium,100.0,https://leetcode.com/problems/design-browser-history,"Array, Linked List, Stack, Design, Doubly-Linked List, Data Stream"
2,Reorganize String,55.8%,Medium,96.5,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
3,Design Hit Counter,69.0%,Medium,84.8,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
4,Task Scheduler,61.0%,Medium,83.6,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
5,Maximize Distance to Closest Person,48.7%,Medium,83.6,https://leetcode.com/problems/maximize-distance-to-closest-person,Array
6,Merge Intervals,48.8%,Medium,78.1,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
7,Text Justification,47.1%,Hard,76.5,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
8,Students and Examinations,60.3%,Easy,72.8,https://leetcode.com/problems/students-and-examinations,Database
9,Subdomain Visit Count,76.7%,Medium,72.8,https://leetcode.com/problems/subdomain-visit-count,"Array, Hash Table, String, Counting"
10,Maximum Number of Occurrences of a Substring,53.0%,Medium,72.8,https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring,"Hash Table, String, Sliding Window"
11,Number of Trusted Contacts of a Customer,75.1%,Medium,72.8,https://leetcode.com/problems/number-of-trusted-contacts-of-a-customer,Database
12,Minimum Number of Frogs Croaking,50.6%,Medium,72.8,https://leetcode.com/problems/minimum-number-of-frogs-croaking,"String, Counting"
13,Count Number of Nice Subarrays,72.4%,Medium,72.8,https://leetcode.com/problems/count-number-of-nice-subarrays,"Array, Hash Table, Math, Sliding Window, Prefix Sum"
14,Magnetic Force Between Two Balls,71.1%,Medium,72.8,https://leetcode.com/problems/magnetic-force-between-two-balls,"Array, Binary Search, Sorting"
15,Convert Binary Number in a Linked List to Integer,81.2%,Easy,72.8,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer,"Linked List, Math"
16,Group the People Given the Group Size They Belong To,87.4%,Medium,72.8,https://leetcode.com/problems/group-the-people-given-the-group-size-they-belong-to,"Array, Hash Table, Greedy"
17,Integer to English Words,34.3%,Hard,70.6,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
18,Valid Parentheses,41.8%,Easy,65.5,https://leetcode.com/problems/valid-parentheses,"String, Stack"
19,Rotate Image,77.2%,Medium,62.3,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
20,Number of Flowers in Full Bloom,57.1%,Hard,58.6,https://leetcode.com/problems/number-of-flowers-in-full-bloom,"Array, Hash Table, Binary Search, Sorting, Prefix Sum, Ordered Set"
21,Spiral Matrix,52.9%,Medium,54.1,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
22,Split Message Based on Limit,43.1%,Hard,54.1,https://leetcode.com/problems/split-message-based-on-limit,"String, Binary Search, Enumeration"
23,Implement Trie (Prefix Tree),67.4%,Medium,54.1,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
