ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Substring with Concatenation of All Words,32.8%,Hard,100.0,https://leetcode.com/problems/substring-with-concatenation-of-all-words,"Hash Table, String, Sliding Window"
2,Decode String,60.7%,Medium,100.0,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
3,Sliding Window Maximum,47.2%,Hard,100.0,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
4,Simplify Path,46.6%,Medium,87.7,https://leetcode.com/problems/simplify-path,"String, Stack"
5,Last Stone Weight,65.8%,Easy,87.7,https://leetcode.com/problems/last-stone-weight,"Array, Heap (Priority Queue)"
6,Asteroid Collision,45.1%,Medium,87.7,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
7,LRU Cache,44.4%,Medium,87.7,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
8,Backspace String Compare,49.4%,Easy,87.7,https://leetcode.com/problems/backspace-string-compare,"Two Pointers, String, Stack, Simulation"
9,Multiply Strings,41.8%,Medium,87.7,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
10,Maximum Product of Three Numbers,45.2%,Easy,87.7,https://leetcode.com/problems/maximum-product-of-three-numbers,"Array, Math, Sorting"
11,Max Consecutive Ones III,65.2%,Medium,87.7,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
12,Shortest Path to Get All Keys,53.7%,Hard,87.7,https://leetcode.com/problems/shortest-path-to-get-all-keys,"Array, Bit Manipulation, Breadth-First Search, Matrix"
