ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Maximum Points After Enemy Battles,32.4%,Medium,100.0,https://leetcode.com/problems/maximum-points-after-enemy-battles,"Array, Greedy"
2,Find Longest Special Substring That Occurs Thrice II,38.8%,Medium,62.8,https://leetcode.com/problems/find-longest-special-substring-that-occurs-thrice-ii,"Hash Table, String, Binary Search, Sliding Window, Counting"
3,LRU Cache,44.4%,Medium,61.1,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
4,Web Crawler Multithreaded,49.6%,Medium,54.6,https://leetcode.com/problems/web-crawler-multithreaded,"Depth-First Search, Breadth-First Search, Concurrency"
5,Stamping the Grid,32.7%,Hard,51.6,https://leetcode.com/problems/stamping-the-grid,"Array, Greedy, Matrix, Prefix Sum"
6,Scramble String,41.7%,Hard,48.0,https://leetcode.com/problems/scramble-string,"String, Dynamic Programming"
7,Insert Delete GetRandom O(1),54.9%,Medium,48.0,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
8,Design Add and Search Words Data Structure,46.7%,Medium,48.0,https://leetcode.com/problems/design-add-and-search-words-data-structure,"String, Depth-First Search, Design, Trie"
9,Edit Distance,58.2%,Medium,48.0,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
10,Count Lattice Points Inside a Circle,54.6%,Medium,43.4,https://leetcode.com/problems/count-lattice-points-inside-a-circle,"Array, Hash Table, Math, Geometry, Enumeration"
11,Random Pick with Weight,48.2%,Medium,43.4,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
12,Distribute Candies Among Children I,74.8%,Easy,36.9,https://leetcode.com/problems/distribute-candies-among-children-i,"Math, Combinatorics, Enumeration"
13,Cherry Pickup II,71.9%,Hard,36.9,https://leetcode.com/problems/cherry-pickup-ii,"Array, Dynamic Programming, Matrix"
14,Task Scheduler,61.0%,Medium,36.9,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
15,Alien Dictionary,36.4%,Hard,36.9,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
16,Find the Sum of Subsequence Powers,24.5%,Hard,36.9,https://leetcode.com/problems/find-the-sum-of-subsequence-powers,"Array, Dynamic Programming, Sorting"
17,Existence of a Substring in a String and Its Reverse,66.3%,Easy,36.9,https://leetcode.com/problems/existence-of-a-substring-in-a-string-and-its-reverse,"Hash Table, String"
18,Next Permutation,42.3%,Medium,36.9,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
19,Candy Crush,77.2%,Medium,36.9,https://leetcode.com/problems/candy-crush,"Array, Two Pointers, Matrix, Simulation"
20,Distribute Candies Among Children III,43.6%,Hard,36.9,https://leetcode.com/problems/distribute-candies-among-children-iii,"Math, Combinatorics"
21,Distribute Candies Among Children II,35.5%,Medium,36.9,https://leetcode.com/problems/distribute-candies-among-children-ii,"Math, Combinatorics, Enumeration"
22,Design Bounded Blocking Queue,72.8%,Medium,36.9,https://leetcode.com/problems/design-bounded-blocking-queue,Concurrency
23,Design a Text Editor,47.4%,Hard,36.9,https://leetcode.com/problems/design-a-text-editor,"Linked List, String, Stack, Design, Simulation, Doubly-Linked List"
24,Minimum Number of Refueling Stops,40.4%,Hard,36.9,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
25,Sliding Window Maximum,47.2%,Hard,36.9,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
26,Alice and Bob Playing Flower Game,48.1%,Medium,36.9,https://leetcode.com/problems/alice-and-bob-playing-flower-game,Math
