ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Maximum Points After Enemy Battles,32.4%,Medium,100.0,https://leetcode.com/problems/maximum-points-after-enemy-battles,"Array, Greedy"
2,Stamping the Grid,32.7%,Hard,68.2,https://leetcode.com/problems/stamping-the-grid,"Array, Greedy, Matrix, Prefix Sum"
3,Random Pick with Weight,48.2%,Medium,62.9,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
4,Count Lattice Points Inside a Circle,54.6%,Medium,62.9,https://leetcode.com/problems/count-lattice-points-inside-a-circle,"Array, Hash Table, Math, Geometry, Enumeration"
5,Candy Crush,77.2%,Medium,62.9,https://leetcode.com/problems/candy-crush,"Array, Two Pointers, Matrix, Simulation"
6,Alice and Bob Playing Flower Game,48.1%,Medium,62.9,https://leetcode.com/problems/alice-and-bob-playing-flower-game,Math
7,Find the Sum of Subsequence Powers,24.5%,Hard,61.4,https://leetcode.com/problems/find-the-sum-of-subsequence-powers,"Array, Dynamic Programming, Sorting"
8,Existence of a Substring in a String and Its Reverse,66.3%,Easy,61.4,https://leetcode.com/problems/existence-of-a-substring-in-a-string-and-its-reverse,"Hash Table, String"
9,Find Longest Special Substring That Occurs Thrice II,38.8%,Medium,61.4,https://leetcode.com/problems/find-longest-special-substring-that-occurs-thrice-ii,"Hash Table, String, Binary Search, Sliding Window, Counting"
10,Maximize Subarray Sum After Removing All Occurrences of One Element,19.4%,Hard,61.4,https://leetcode.com/problems/maximize-subarray-sum-after-removing-all-occurrences-of-one-element,"Array, Dynamic Programming, Segment Tree"
11,Distribute Candies Among Children III,43.6%,Hard,61.4,https://leetcode.com/problems/distribute-candies-among-children-iii,"Math, Combinatorics"
12,Distribute Candies Among Children II,35.5%,Medium,61.4,https://leetcode.com/problems/distribute-candies-among-children-ii,"Math, Combinatorics, Enumeration"
13,Distribute Candies Among Children I,74.8%,Easy,61.4,https://leetcode.com/problems/distribute-candies-among-children-i,"Math, Combinatorics, Enumeration"
14,Manhattan Distances of All Arrangements of Pieces,35.5%,Hard,61.4,https://leetcode.com/problems/manhattan-distances-of-all-arrangements-of-pieces,"Math, Combinatorics"
15,LRU Cache,44.4%,Medium,59.6,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
16,Insert Delete GetRandom O(1),54.9%,Medium,52.8,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
17,Web Crawler Multithreaded,49.6%,Medium,52.8,https://leetcode.com/problems/web-crawler-multithreaded,"Depth-First Search, Breadth-First Search, Concurrency"
18,Scramble String,41.7%,Hard,49.7,https://leetcode.com/problems/scramble-string,"String, Dynamic Programming"
19,Design Add and Search Words Data Structure,46.7%,Medium,46.0,https://leetcode.com/problems/design-add-and-search-words-data-structure,"String, Depth-First Search, Design, Trie"
20,Edit Distance,58.2%,Medium,46.0,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
21,4Sum,37.6%,Medium,41.2,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
22,Next Permutation,42.3%,Medium,41.2,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
23,Sliding Window Maximum,47.2%,Hard,41.2,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
24,Task Scheduler,61.0%,Medium,41.2,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
25,Minimum Number of Refueling Stops,40.4%,Hard,34.5,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
26,Design a Text Editor,47.4%,Hard,34.5,https://leetcode.com/problems/design-a-text-editor,"Linked List, String, Stack, Design, Simulation, Doubly-Linked List"
27,Alien Dictionary,36.4%,Hard,34.5,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
28,Cherry Pickup II,71.9%,Hard,34.5,https://leetcode.com/problems/cherry-pickup-ii,"Array, Dynamic Programming, Matrix"
29,Remove Invalid Parentheses,48.9%,Hard,34.5,https://leetcode.com/problems/remove-invalid-parentheses,"String, Backtracking, Breadth-First Search"
30,Design Bounded Blocking Queue,72.8%,Medium,34.5,https://leetcode.com/problems/design-bounded-blocking-queue,Concurrency
31,Prefix and Suffix Search,41.2%,Hard,34.5,https://leetcode.com/problems/prefix-and-suffix-search,"Array, Hash Table, String, Design, Trie"
