ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Two Sum,55.1%,Easy,100.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
2,Longest Common Prefix,44.9%,Easy,85.3,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
3,Valid Parentheses,41.8%,Easy,85.3,https://leetcode.com/problems/valid-parentheses,"String, Stack"
4,Container With Most Water,57.2%,Medium,80.9,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
5,Maximum Depth of Binary Tree,76.8%,Easy,68.6,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
6,Maximal Square,48.2%,Medium,68.6,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
7,Daily Temperatures,67.0%,Medium,68.6,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
8,Maximum Employees to Be Invited to a Meeting,62.3%,Hard,68.6,https://leetcode.com/problems/maximum-employees-to-be-invited-to-a-meeting,"Depth-First Search, Graph, Topological Sort"
9,Sqrt(x),40.0%,Easy,68.6,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
10,Maximum Number of Weeks for Which You Can Work,41.1%,Medium,68.6,https://leetcode.com/problems/maximum-number-of-weeks-for-which-you-can-work,"Array, Greedy"
11,Number of Islands,61.6%,Medium,68.6,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
12,Count the Number of Infection Sequences,35.7%,Hard,58.9,https://leetcode.com/problems/count-the-number-of-infection-sequences,"Array, Math, Combinatorics"
13,Trapping Rain Water,64.3%,Hard,58.9,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
14,Maximum Path Quality of a Graph,59.4%,Hard,58.9,https://leetcode.com/problems/maximum-path-quality-of-a-graph,"Array, Backtracking, Graph"
15,Movie Rating,41.2%,Medium,58.9,https://leetcode.com/problems/movie-rating,Database
16,Sort Array by Increasing Frequency,80.1%,Easy,58.9,https://leetcode.com/problems/sort-array-by-increasing-frequency,"Array, Hash Table, Sorting"
17,Count Increasing Quadruplets,33.7%,Hard,58.9,https://leetcode.com/problems/count-increasing-quadruplets,"Array, Dynamic Programming, Binary Indexed Tree, Enumeration, Prefix Sum"
18,Maximum Subarray,51.7%,Medium,58.9,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
19,Valid Palindrome,50.2%,Easy,58.9,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
20,Longest Consecutive Sequence,47.2%,Medium,58.9,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
21,Valid Perfect Square,44.0%,Easy,58.9,https://leetcode.com/problems/valid-perfect-square,"Math, Binary Search"
22,Rotate String,63.5%,Easy,58.9,https://leetcode.com/problems/rotate-string,"String, String Matching"
23,Reverse Linked List,78.7%,Easy,58.9,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
24,Best Time to Buy and Sell Stock,54.8%,Easy,58.9,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
25,Remove Duplicates from Sorted Array,59.5%,Easy,58.9,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
26,Maximum Students Taking Exam,51.8%,Hard,58.9,https://leetcode.com/problems/maximum-students-taking-exam,"Array, Dynamic Programming, Bit Manipulation, Matrix, Bitmask"
