ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Two Sum,55.1%,Easy,100.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
2,Movie Rating,41.2%,Medium,93.5,https://leetcode.com/problems/movie-rating,Database
3,Count Increasing Quadruplets,33.7%,Hard,93.5,https://leetcode.com/problems/count-increasing-quadruplets,"Array, Dynamic Programming, Binary Indexed Tree, Enumeration, Prefix Sum"
4,Count the Number of Infection Sequences,35.7%,Hard,93.5,https://leetcode.com/problems/count-the-number-of-infection-sequences,"Array, Math, Combinatorics"
5,Maximum Path Quality of a Graph,59.4%,Hard,93.5,https://leetcode.com/problems/maximum-path-quality-of-a-graph,"Array, Backtracking, Graph"
6,Maximum Students Taking Exam,51.8%,Hard,93.5,https://leetcode.com/problems/maximum-students-taking-exam,"Array, Dynamic Programming, Bit Manipulation, Matrix, Bitmask"
7,Container With Most Water,57.2%,Medium,88.1,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
8,Valid Parentheses,41.8%,Easy,84.8,https://leetcode.com/problems/valid-parentheses,"String, Stack"
9,Number of Islands,61.6%,Medium,84.8,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
10,Longest Common Prefix,44.9%,Easy,81.0,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
11,Reverse Linked List,78.7%,Easy,76.5,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
12,Trapping Rain Water,64.3%,Hard,71.0,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
13,Maximum Subarray,51.7%,Medium,71.0,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
14,Maximal Square,48.2%,Medium,71.0,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
15,Valid Palindrome,50.2%,Easy,64.0,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
16,Longest Palindromic Substring,35.3%,Medium,64.0,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
17,Leftmost Column with at Least a One,54.9%,Medium,64.0,https://leetcode.com/problems/leftmost-column-with-at-least-a-one,"Array, Binary Search, Matrix, Interactive"
18,Daily Temperatures,67.0%,Medium,64.0,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
19,Kth Largest Element in an Array,67.6%,Medium,64.0,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
20,Maximum Depth of Binary Tree,76.8%,Easy,64.0,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
21,Remove Duplicates from Sorted Array,59.5%,Easy,64.0,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
22,Maximum Number of Weeks for Which You Can Work,41.1%,Medium,64.0,https://leetcode.com/problems/maximum-number-of-weeks-for-which-you-can-work,"Array, Greedy"
23,Maximum Employees to Be Invited to a Meeting,62.3%,Hard,64.0,https://leetcode.com/problems/maximum-employees-to-be-invited-to-a-meeting,"Depth-First Search, Graph, Topological Sort"
24,Sqrt(x),40.0%,Easy,64.0,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
25,Best Time to Buy and Sell Stock,54.8%,Easy,54.1,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
26,Monotone Increasing Digits,48.6%,Medium,54.1,https://leetcode.com/problems/monotone-increasing-digits,"Math, Greedy"
27,Fibonacci Number,72.5%,Easy,54.1,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
28,Valid Perfect Square,44.0%,Easy,54.1,https://leetcode.com/problems/valid-perfect-square,"Math, Binary Search"
29,Longest Consecutive Sequence,47.2%,Medium,54.1,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
30,Linked List Cycle,52.0%,Easy,54.1,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
31,Sort Array by Increasing Frequency,80.1%,Easy,54.1,https://leetcode.com/problems/sort-array-by-increasing-frequency,"Array, Hash Table, Sorting"
32,Word Break,47.9%,Medium,54.1,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
33,Combination Sum II,57.2%,Medium,54.1,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
34,Move Zeroes,62.5%,Easy,54.1,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
35,LRU Cache,44.4%,Medium,54.1,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
36,Rotate String,63.5%,Easy,54.1,https://leetcode.com/problems/rotate-string,"String, String Matching"
37,Binary Search Tree to Greater Sum Tree,88.3%,Medium,54.1,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
38,Coin Change,45.8%,Medium,54.1,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
