ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Number of Islands,61.6%,Medium,100.0,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
2,LFU Cache,45.8%,Hard,85.4,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
3,First Missing Positive,40.6%,Hard,85.4,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
4,Merge Two Sorted Lists,66.3%,Easy,85.4,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
5,Reverse Linked List,78.7%,Easy,85.4,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
6,Merge Intervals,48.8%,Medium,85.4,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
7,Contains Duplicate,62.8%,Easy,85.4,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
8,Two Sum,55.1%,Easy,85.4,https://leetcode.com/problems/two-sum,"Array, Hash Table"
9,Best Time to Buy and Sell Stock,54.8%,Easy,85.4,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
10,Valid Parentheses,41.8%,Easy,85.4,https://leetcode.com/problems/valid-parentheses,"String, Stack"
11,Letter Combinations of a Phone Number,63.1%,Medium,85.4,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
12,Longest Subarray With Maximum Bitwise AND,61.8%,Medium,73.9,https://leetcode.com/problems/longest-subarray-with-maximum-bitwise-and,"Array, Bit Manipulation, Brainteaser"
13,Largest Number,40.9%,Medium,73.9,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
14,3Sum,36.4%,Medium,73.9,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
15,Jump Game II,41.1%,Medium,73.9,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
16,Top K Frequent Elements,64.1%,Medium,73.9,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
17,Minimized Maximum of Products Distributed to Any Store,62.6%,Medium,73.9,https://leetcode.com/problems/minimized-maximum-of-products-distributed-to-any-store,"Array, Binary Search, Greedy"
18,Peaks in Array,26.6%,Hard,73.9,https://leetcode.com/problems/peaks-in-array,"Array, Binary Indexed Tree, Segment Tree"
19,Rotate List,39.4%,Medium,73.9,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers"
20,Valid Anagram,66.2%,Easy,73.9,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
