ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Peaks in Array,26.6%,Hard,100.0,https://leetcode.com/problems/peaks-in-array,"Array, Binary Indexed Tree, Segment Tree"
2,Minimized Maximum of Products Distributed to Any Store,62.6%,Medium,100.0,https://leetcode.com/problems/minimized-maximum-of-products-distributed-to-any-store,"Array, Binary Search, Greedy"
3,Number of Islands,61.6%,Medium,87.5,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
4,Merge Intervals,48.8%,Medium,70.5,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
5,LFU Cache,45.8%,Hard,70.5,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
6,Reverse Linked List,78.7%,Easy,70.5,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
7,Best Time to Buy and Sell Stock,54.8%,Easy,70.5,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
8,Two Sum,55.1%,Easy,70.5,https://leetcode.com/problems/two-sum,"Array, Hash Table"
9,First Missing Positive,40.6%,Hard,70.5,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
10,Merge Two Sorted Lists,66.3%,Easy,70.5,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
11,Valid Parentheses,41.8%,Easy,70.5,https://leetcode.com/problems/valid-parentheses,"String, Stack"
12,Letter Combinations of a Phone Number,63.1%,Medium,70.5,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
13,Contains Duplicate,62.8%,Easy,70.5,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
14,Maximum Product of Three Numbers,45.2%,Easy,60.5,https://leetcode.com/problems/maximum-product-of-three-numbers,"Array, Math, Sorting"
15,Valid Anagram,66.2%,Easy,60.5,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
16,Angle Between Hands of a Clock,64.1%,Medium,60.5,https://leetcode.com/problems/angle-between-hands-of-a-clock,Math
17,Rotate Array,42.5%,Medium,60.5,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
18,Palindrome Linked List,55.2%,Easy,60.5,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
19,Largest Number,40.9%,Medium,60.5,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
20,Rotate List,39.4%,Medium,60.5,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers"
21,Longest Subarray With Maximum Bitwise AND,61.8%,Medium,60.5,https://leetcode.com/problems/longest-subarray-with-maximum-bitwise-and,"Array, Bit Manipulation, Brainteaser"
22,3Sum,36.4%,Medium,60.5,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
23,Top K Frequent Elements,64.1%,Medium,60.5,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
24,Jump Game II,41.1%,Medium,60.5,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
25,Remove Duplicates from Sorted Array,59.5%,Easy,60.5,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
