ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Power of Two,48.2%,Easy,100.0,https://leetcode.com/problems/power-of-two,"Math, Bit Manipulation, Recursion"
2,Meeting Rooms II,51.9%,Medium,83.4,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
3,LRU Cache,44.4%,Medium,80.6,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
4,Course Schedule II,52.6%,Medium,77.4,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
5,Word Search,44.6%,Medium,73.7,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
6,Cheapest Flights Within K Stops,40.1%,Medium,73.7,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
7,Basic Calculator II,45.3%,Medium,73.7,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
8,Minimum Window Substring,44.7%,Hard,73.7,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
9,Shortest Bridge,58.3%,Medium,73.7,https://leetcode.com/problems/shortest-bridge,"Array, Depth-First Search, Breadth-First Search, Matrix"
10,Parallel Courses III,66.8%,Hard,69.4,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph, Topological Sort"
11,Valid Arrangement of Pairs,66.7%,Hard,69.4,https://leetcode.com/problems/valid-arrangement-of-pairs,"Depth-First Search, Graph, Eulerian Circuit"
12,Number of Islands,61.6%,Medium,69.4,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
13,Jump Game III,65.8%,Medium,69.4,https://leetcode.com/problems/jump-game-iii,"Array, Depth-First Search, Breadth-First Search"
14,Word Ladder,41.8%,Hard,64.1,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
15,Shortest Path in a Grid with Obstacles Elimination,45.5%,Hard,64.1,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,"Array, Breadth-First Search, Matrix"
16,Minimum Time to Complete All Tasks,38.6%,Hard,64.1,https://leetcode.com/problems/minimum-time-to-complete-all-tasks,"Array, Binary Search, Stack, Greedy, Sorting"
17,Number of Islands II,40.0%,Hard,64.1,https://leetcode.com/problems/number-of-islands-ii,"Array, Hash Table, Union Find"
18,Minimum Number of Refueling Stops,40.4%,Hard,64.1,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
19,Course Schedule,48.5%,Medium,64.1,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
20,Minimum Number of Keypresses,71.2%,Medium,64.1,https://leetcode.com/problems/minimum-number-of-keypresses,"Hash Table, String, Greedy, Sorting, Counting"
