ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Asteroid Collision,45.1%,Medium,100.0,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
2,Subarray Product Less Than K,52.4%,Medium,88.4,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
3,Flatten a Multilevel Doubly Linked List,61.0%,Medium,88.4,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,"Linked List, Depth-First Search, Doubly-Linked List"
4,Two Sum,55.1%,Easy,88.4,https://leetcode.com/problems/two-sum,"Array, Hash Table"
5,Number of Islands,61.6%,Medium,88.4,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
6,Minimum Number of Steps to Make Two Strings Anagram,82.2%,Medium,88.4,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,"Hash Table, String, Counting"
7,Minimum Window Substring,44.7%,Hard,88.4,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
8,Roman to Integer,64.2%,Easy,88.4,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
9,Degree of an Array,57.1%,Easy,88.4,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
10,Longest Mountain in Array,40.8%,Medium,88.4,https://leetcode.com/problems/longest-mountain-in-array,"Array, Two Pointers, Dynamic Programming, Enumeration"
