ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Minimum Window Substring,44.7%,Hard,100.0,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
2,Asteroid Collision,45.1%,Medium,100.0,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
3,Two Sum,55.1%,Easy,91.9,https://leetcode.com/problems/two-sum,"Array, Hash Table"
4,Number of Islands,61.6%,Medium,91.9,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
5,Longest Mountain in Array,40.8%,Medium,91.9,https://leetcode.com/problems/longest-mountain-in-array,"Array, Two Pointers, Dynamic Programming, Enumeration"
6,Degree of an Array,57.1%,Easy,91.9,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
7,Insert Delete GetRandom O(1),54.9%,Medium,91.9,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
8,Roman to Integer,64.2%,Easy,80.4,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
9,Subarray Product Less Than K,52.4%,Medium,80.4,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
10,Flatten a Multilevel Doubly Linked List,61.0%,Medium,80.4,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,"Linked List, Depth-First Search, Doubly-Linked List"
11,Minimum Number of Steps to Make Two Strings Anagram,82.2%,Medium,80.4,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,"Hash Table, String, Counting"
12,Meeting Rooms II,51.9%,Medium,80.4,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
13,LRU Cache,44.4%,Medium,80.4,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
14,Merge k Sorted Lists,55.8%,Hard,80.4,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
15,Palindromic Substrings,71.3%,Medium,80.4,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
