ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Meeting Rooms II,51.9%,Medium,100.0,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
2,Group Anagrams,70.3%,Medium,91.5,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
3,Koko Eating Bananas,48.8%,Medium,91.5,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
4,Number of Distinct Islands,62.0%,Medium,91.5,https://leetcode.com/problems/number-of-distinct-islands,"Hash Table, Depth-First Search, Breadth-First Search, Union Find, Hash Function"
5,Longest Increasing Subsequence,57.2%,Medium,91.5,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
6,Find Median from Data Stream,53.0%,Hard,91.5,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
7,Find First and Last Position of Element in Sorted Array,46.1%,Medium,91.5,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
8,Decode String,60.7%,Medium,79.5,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
9,Meeting Rooms,58.8%,Easy,79.5,https://leetcode.com/problems/meeting-rooms,"Array, Sorting"
10,LRU Cache,44.4%,Medium,79.5,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
11,Design Browser History,77.9%,Medium,79.5,https://leetcode.com/problems/design-browser-history,"Array, Linked List, Stack, Design, Doubly-Linked List, Data Stream"
12,Trapping Rain Water,64.3%,Hard,79.5,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
13,Minimum Height Trees,41.9%,Medium,79.5,https://leetcode.com/problems/minimum-height-trees,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
