ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Minimum Edge Weight Equilibrium Queries in a Tree,43.7%,Hard,100.0,https://leetcode.com/problems/minimum-edge-weight-equilibrium-queries-in-a-tree,"Array, Tree, Graph, Strongly Connected Component"
2,Asteroid Collision,45.1%,Medium,93.3,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
3,Robot Collisions,56.8%,Hard,84.3,https://leetcode.com/problems/robot-collisions,"Array, Stack, Sorting, Simulation"
4,Insert Delete GetRandom O(1),54.9%,Medium,78.4,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
5,Serialize and Deserialize Binary Tree,58.4%,Hard,78.4,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
6,Number of Provinces,68.0%,Medium,78.4,https://leetcode.com/problems/number-of-provinces,"Depth-First Search, Breadth-First Search, Union Find, Graph"
7,Minimize the Difference Between Target and Chosen Elements,35.7%,Medium,78.4,https://leetcode.com/problems/minimize-the-difference-between-target-and-chosen-elements,"Array, Dynamic Programming, Matrix"
8,Apply Operations on Array to Maximize Sum of Squares,45.3%,Hard,78.4,https://leetcode.com/problems/apply-operations-on-array-to-maximize-sum-of-squares,"Array, Hash Table, Greedy, Bit Manipulation"
9,Minimum Number of Food Buckets to Feed the Hamsters,47.0%,Medium,78.4,https://leetcode.com/problems/minimum-number-of-food-buckets-to-feed-the-hamsters,"String, Dynamic Programming, Greedy"
10,Maximum Profit in Job Scheduling,54.3%,Hard,70.7,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
11,Count of Smaller Numbers After Self,42.7%,Hard,70.7,https://leetcode.com/problems/count-of-smaller-numbers-after-self,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
12,Validate IP Address,27.7%,Medium,70.7,https://leetcode.com/problems/validate-ip-address,String
13,Partition Labels,80.2%,Medium,70.7,https://leetcode.com/problems/partition-labels,"Hash Table, Two Pointers, String, Greedy"
14,Next Greater Numerically Balanced Number,49.1%,Medium,70.7,https://leetcode.com/problems/next-greater-numerically-balanced-number,"Math, Backtracking, Enumeration"
15,Max Points on a Line,28.4%,Hard,70.7,https://leetcode.com/problems/max-points-on-a-line,"Array, Hash Table, Math, Geometry"
16,Maximize Score After N Operations,57.9%,Hard,70.7,https://leetcode.com/problems/maximize-score-after-n-operations,"Array, Math, Dynamic Programming, Backtracking, Bit Manipulation, Number Theory, Bitmask"
17,Set Matrix Zeroes,58.9%,Medium,70.7,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
18,Count Valid Paths in a Tree,35.5%,Hard,70.7,https://leetcode.com/problems/count-valid-paths-in-a-tree,"Math, Dynamic Programming, Tree, Depth-First Search, Number Theory"
19,Apply Bitwise Operations to Make Strings Equal,41.9%,Medium,60.0,https://leetcode.com/problems/apply-bitwise-operations-to-make-strings-equal,"String, Bit Manipulation"
20,Maximum Subarray Sum After One Operation,65.2%,Medium,60.0,https://leetcode.com/problems/maximum-subarray-sum-after-one-operation,"Array, Dynamic Programming"
21,Create Components With Same Value,53.1%,Hard,60.0,https://leetcode.com/problems/create-components-with-same-value,"Array, Math, Tree, Depth-First Search, Enumeration"
22,Largest Rectangle in Histogram,46.6%,Hard,60.0,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
23,Number of Same-End Substrings,61.3%,Medium,60.0,https://leetcode.com/problems/number-of-same-end-substrings,"Array, Hash Table, String, Counting, Prefix Sum"
24,Number of Great Partitions,32.2%,Hard,60.0,https://leetcode.com/problems/number-of-great-partitions,"Array, Dynamic Programming"
25,Count the Number of Powerful Integers,26.8%,Hard,60.0,https://leetcode.com/problems/count-the-number-of-powerful-integers,"Math, String, Dynamic Programming"
26,Minimum Time to Revert Word to Initial State II,35.0%,Hard,60.0,https://leetcode.com/problems/minimum-time-to-revert-word-to-initial-state-ii,"String, Rolling Hash, String Matching, Hash Function"
27,Choose Edges to Maximize Score in a Tree,56.1%,Medium,60.0,https://leetcode.com/problems/choose-edges-to-maximize-score-in-a-tree,"Dynamic Programming, Tree, Depth-First Search"
28,Closest Subsequence Sum,41.1%,Hard,60.0,https://leetcode.com/problems/closest-subsequence-sum,"Array, Two Pointers, Dynamic Programming, Bit Manipulation, Sorting, Bitmask"
29,Minimum Time to Revert Word to Initial State I,41.5%,Medium,60.0,https://leetcode.com/problems/minimum-time-to-revert-word-to-initial-state-i,"String, Rolling Hash, String Matching, Hash Function"
30,Russian Doll Envelopes,37.2%,Hard,60.0,https://leetcode.com/problems/russian-doll-envelopes,"Array, Binary Search, Dynamic Programming, Sorting"
31,Remove Boxes,48.2%,Hard,60.0,https://leetcode.com/problems/remove-boxes,"Array, Dynamic Programming, Memoization"
32,Trapping Rain Water,64.3%,Hard,60.0,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
33,Best Time to Buy and Sell Stock,54.8%,Easy,60.0,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
34,Sort Colors,66.4%,Medium,60.0,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
35,Container With Most Water,57.2%,Medium,60.0,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
36,Increasing Triplet Subsequence,39.2%,Medium,60.0,https://leetcode.com/problems/increasing-triplet-subsequence,"Array, Greedy"
