ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Search Suggestions System,65.0%,Medium,100.0,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
2,Subarray Product Less Than K,52.4%,Medium,91.6,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
3,Best Time to Buy and Sell Stock,54.8%,Easy,86.1,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
4,Maximum Subarray,51.7%,Medium,79.0,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
5,Minimum Insertion Steps to Make a String Palindrome,72.0%,Hard,68.9,https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome,"String, Dynamic Programming"
6,Number of Islands,61.6%,Medium,68.9,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
7,Coin Change,45.8%,Medium,68.9,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
8,Kth Largest Element in an Array,67.6%,Medium,68.9,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
9,Subarrays with K Different Integers,65.1%,Hard,68.9,https://leetcode.com/problems/subarrays-with-k-different-integers,"Array, Hash Table, Sliding Window, Counting"
10,Longest Increasing Subsequence,57.2%,Medium,68.9,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
11,Group Anagrams,70.3%,Medium,68.9,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
