ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Maximize Area of Square Hole in Grid,37.5%,Medium,100.0,https://leetcode.com/problems/maximize-area-of-square-hole-in-grid,"Array, Sorting"
2,Minimum Value to Get Positive Step by Step Sum,64.9%,Easy,97.7,https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum,"Array, Prefix Sum"
3,Valid Parentheses,41.8%,Easy,75.5,https://leetcode.com/problems/valid-parentheses,"String, Stack"
4,Sort Colors,66.4%,Medium,75.5,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
5,Merge Sorted Array,52.3%,Easy,75.5,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
6,Next Greater Element I,73.9%,Easy,75.5,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
7,Fair Candy Swap,62.9%,Easy,68.5,https://leetcode.com/problems/fair-candy-swap,"Array, Hash Table, Binary Search, Sorting"
8,Happy Number,57.6%,Easy,68.5,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
9,Maximum Profit in Job Scheduling,54.3%,Hard,68.5,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
10,Daily Temperatures,67.0%,Medium,68.5,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
11,Integer to Roman,67.9%,Medium,68.5,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
12,Subarray Sum Equals K,44.9%,Medium,58.7,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
13,Letter Combinations of a Phone Number,63.1%,Medium,58.7,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
14,Immediate Food Delivery II,53.8%,Medium,58.7,https://leetcode.com/problems/immediate-food-delivery-ii,Database
15,Count Good Meals,31.1%,Medium,58.7,https://leetcode.com/problems/count-good-meals,"Array, Hash Table"
16,Median of Two Sorted Arrays,42.9%,Hard,58.7,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
17,Construct Binary Tree from Preorder and Inorder Traversal,66.1%,Medium,58.7,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
18,First Missing Positive,40.6%,Hard,58.7,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
19,LRU Cache,44.4%,Medium,58.7,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
20,Merge Two Sorted Lists,66.3%,Easy,58.7,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
21,Longest Consecutive Sequence,47.2%,Medium,58.7,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
22,Majority Element,65.5%,Easy,58.7,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
23,Maximum Length of Pair Chain,60.6%,Medium,58.7,https://leetcode.com/problems/maximum-length-of-pair-chain,"Array, Dynamic Programming, Greedy, Sorting"
24,Subsets II,58.9%,Medium,58.7,https://leetcode.com/problems/subsets-ii,"Array, Backtracking, Bit Manipulation"
25,Climbing Stairs,53.3%,Easy,58.7,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
26,Trapping Rain Water,64.3%,Hard,58.7,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
27,Maximum Score From Removing Substrings,62.8%,Medium,58.7,https://leetcode.com/problems/maximum-score-from-removing-substrings,"String, Stack, Greedy"
