ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Two Sum,55.1%,Easy,100.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
2,Palindrome Number,58.7%,Easy,90.0,https://leetcode.com/problems/palindrome-number,Math
3,Best Time to Buy and Sell Stock,54.8%,Easy,84.8,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
4,Majority Element,65.5%,Easy,81.8,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
5,Maximum Subarray,51.7%,Medium,80.1,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
6,Rotate Array,42.5%,Medium,78.2,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
7,Longest Common Prefix,44.9%,Easy,76.3,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
8,Valid Parentheses,41.8%,Easy,76.3,https://leetcode.com/problems/valid-parentheses,"String, Stack"
9,Fibonacci Number,72.5%,Easy,76.3,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
10,Move Zeroes,62.5%,Easy,76.3,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
11,Subarray Sum Equals K,44.9%,Medium,71.7,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
12,Bitwise ORs of Subarrays,40.3%,Medium,71.7,https://leetcode.com/problems/bitwise-ors-of-subarrays,"Array, Dynamic Programming, Bit Manipulation"
13,Reverse Integer,29.9%,Medium,71.7,https://leetcode.com/problems/reverse-integer,Math
14,Unique Paths,65.4%,Medium,69.0,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
15,Climbing Stairs,53.3%,Easy,69.0,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
16,Merge Sorted Array,52.3%,Easy,69.0,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
17,Roman to Integer,64.2%,Easy,69.0,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
18,Valid Anagram,66.2%,Easy,65.9,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
19,Length of Last Word,55.4%,Easy,62.4,https://leetcode.com/problems/length-of-last-word,String
