ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Two Sum,55.1%,Easy,83.3,https://leetcode.com/problems/two-sum,"Array, Hash Table"
2,Palindrome Number,58.7%,Easy,76.1,https://leetcode.com/problems/palindrome-number,Math
3,Majority Element,65.5%,Easy,69.8,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
4,Best Time to Buy and Sell Stock,54.8%,Easy,66.8,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
5,Maximum Subarray,51.7%,Medium,65.6,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
6,Longest Common Prefix,44.9%,Easy,65.6,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
7,Valid Parentheses,41.8%,Easy,64.4,https://leetcode.com/problems/valid-parentheses,"String, Stack"
8,Rotate Array,42.5%,Medium,63.1,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
9,Reverse Integer,29.9%,Medium,60.2,https://leetcode.com/problems/reverse-integer,Math
10,Subarray Sum Equals K,44.9%,Medium,60.2,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
11,Count the Digits That Divide a Number,85.6%,Easy,60.2,https://leetcode.com/problems/count-the-digits-that-divide-a-number,Math
12,Fibonacci Number,72.5%,Easy,60.2,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
13,Move Zeroes,62.5%,Easy,60.2,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
14,Roman to Integer,64.2%,Easy,58.6,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
15,Jump Game,39.1%,Medium,56.8,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
16,Merge Sorted Array,52.3%,Easy,56.8,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
17,Minimum Cuts to Divide a Circle,54.8%,Easy,56.8,https://leetcode.com/problems/minimum-cuts-to-divide-a-circle,"Math, Geometry"
18,Unique Paths,65.4%,Medium,56.8,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
19,Remove Letter To Equalize Frequency,17.9%,Easy,56.8,https://leetcode.com/problems/remove-letter-to-equalize-frequency,"Hash Table, String, Counting"
20,Minimum Operations to Exceed Threshold Value I,86.4%,Easy,56.8,https://leetcode.com/problems/minimum-operations-to-exceed-threshold-value-i,Array
21,Minimum Operations to Exceed Threshold Value II,45.7%,Medium,56.8,https://leetcode.com/problems/minimum-operations-to-exceed-threshold-value-ii,"Array, Heap (Priority Queue), Simulation"
22,Bitwise ORs of Subarrays,40.3%,Medium,54.8,https://leetcode.com/problems/bitwise-ors-of-subarrays,"Array, Dynamic Programming, Bit Manipulation"
23,Find the Index of the First Occurrence in a String,44.5%,Easy,52.6,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
24,Climbing Stairs,53.3%,Easy,52.6,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
25,3Sum,36.4%,Medium,52.6,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
26,Second Highest Salary,43.0%,Medium,52.6,https://leetcode.com/problems/second-highest-salary,Database
27,Single Number,75.3%,Easy,50.1,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
28,Reverse Words in a String,50.1%,Medium,50.1,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
29,Valid Anagram,66.2%,Easy,50.1,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
30,Longest Palindromic Substring,35.3%,Medium,50.1,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
31,Length of Last Word,55.4%,Easy,50.1,https://leetcode.com/problems/length-of-last-word,String
32,Remove Duplicates from Sorted Array,59.5%,Easy,47.3,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
33,Max Consecutive Ones III,65.2%,Medium,47.3,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
34,Longest Substring Without Repeating Characters,36.3%,Medium,47.3,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
35,Sort Colors,66.4%,Medium,47.3,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
36,Sqrt(x),40.0%,Easy,47.3,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
37,Sliding Window Maximum,47.2%,Hard,47.3,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
38,Happy Number,57.6%,Easy,47.3,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
39,Add Two Numbers,45.4%,Medium,47.3,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
40,Reverse Linked List,78.7%,Easy,43.9,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
41,Reverse String,79.5%,Easy,43.9,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
42,Container With Most Water,57.2%,Medium,43.9,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
43,Plus One,47.0%,Easy,43.9,https://leetcode.com/problems/plus-one,"Array, Math"
44,Missing Number,69.3%,Easy,43.9,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
45,Toeplitz Matrix,69.6%,Easy,43.9,https://leetcode.com/problems/toeplitz-matrix,"Array, Matrix"
46,Find Customer Referee,71.6%,Easy,43.9,https://leetcode.com/problems/find-customer-referee,Database
47,K-diff Pairs in an Array,44.3%,Medium,39.7,https://leetcode.com/problems/k-diff-pairs-in-an-array,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
48,N-th Tribonacci Number,63.6%,Easy,39.7,https://leetcode.com/problems/n-th-tribonacci-number,"Math, Dynamic Programming, Memoization"
49,Subsets,80.3%,Medium,39.7,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
50,Power of Two,48.2%,Easy,39.7,https://leetcode.com/problems/power-of-two,"Math, Bit Manipulation, Recursion"
51,Contains Duplicate,62.8%,Easy,39.7,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
52,Spiral Matrix,52.9%,Medium,39.7,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
53,"Pow(x, n)",36.5%,Medium,39.7,https://leetcode.com/problems/powx-n,"Math, Recursion"
54,Trapping Rain Water,64.3%,Hard,39.7,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
55,Merge Two Sorted Lists,66.3%,Easy,39.7,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
56,Generate Parentheses,76.5%,Medium,39.7,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
57,Sort Characters By Frequency,73.7%,Medium,34.4,https://leetcode.com/problems/sort-characters-by-frequency,"Hash Table, String, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
58,Big Countries,68.2%,Easy,34.4,https://leetcode.com/problems/big-countries,Database
59,Article Views I,77.1%,Easy,34.4,https://leetcode.com/problems/article-views-i,Database
60,Coin Change,45.8%,Medium,34.4,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
61,Single Element in a Sorted Array,59.2%,Medium,34.4,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
62,Binary Search,59.1%,Easy,34.4,https://leetcode.com/problems/binary-search,"Array, Binary Search"
63,Largest Number,40.9%,Medium,34.4,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
64,Sort Array by Increasing Frequency,80.1%,Easy,34.4,https://leetcode.com/problems/sort-array-by-increasing-frequency,"Array, Hash Table, Sorting"
65,Longest Consecutive Sequence,47.2%,Medium,34.4,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
66,Remove Duplicates from Sorted Array II,62.2%,Medium,34.4,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,"Array, Two Pointers"
67,Find First and Last Position of Element in Sorted Array,46.1%,Medium,34.4,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
68,Largest Rectangle in Histogram,46.6%,Hard,34.4,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
69,Partition List,58.3%,Medium,34.4,https://leetcode.com/problems/partition-list,"Linked List, Two Pointers"
70,Same Tree,64.4%,Easy,34.4,https://leetcode.com/problems/same-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
71,Pascal's Triangle,76.4%,Easy,34.4,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
72,Best Time to Buy and Sell Stock II,68.9%,Medium,34.4,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
73,Department Top Three Salaries,56.8%,Hard,34.4,https://leetcode.com/problems/department-top-three-salaries,Database
74,Edit Distance,58.2%,Medium,34.4,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
75,Longest Common Subsequence,58.0%,Medium,27.1,https://leetcode.com/problems/longest-common-subsequence,"String, Dynamic Programming"
76,Peak Index in a Mountain Array,67.8%,Medium,27.1,https://leetcode.com/problems/peak-index-in-a-mountain-array,"Array, Binary Search"
77,4Sum,37.6%,Medium,27.1,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
78,Letter Combinations of a Phone Number,63.1%,Medium,27.1,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
79,3Sum Closest,46.6%,Medium,27.1,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting"
80,Next Permutation,42.3%,Medium,27.1,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
81,Path with Maximum Probability,65.3%,Medium,27.1,https://leetcode.com/problems/path-with-maximum-probability,"Array, Graph, Heap (Priority Queue), Shortest Path"
82,Greatest Common Divisor of Strings,52.5%,Easy,27.1,https://leetcode.com/problems/greatest-common-divisor-of-strings,"Math, String"
83,Students and Examinations,60.3%,Easy,27.1,https://leetcode.com/problems/students-and-examinations,Database
84,How Many Numbers Are Smaller Than the Current Number,87.1%,Easy,27.1,https://leetcode.com/problems/how-many-numbers-are-smaller-than-the-current-number,"Array, Hash Table, Sorting, Counting Sort"
85,Combination Sum,73.9%,Medium,27.1,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
86,Add Digits,67.6%,Easy,27.1,https://leetcode.com/problems/add-digits,"Math, Simulation, Number Theory"
87,Number of Employees Who Met the Target,87.8%,Easy,27.1,https://leetcode.com/problems/number-of-employees-who-met-the-target,Array
88,Rotate String,63.5%,Easy,27.1,https://leetcode.com/problems/rotate-string,"String, String Matching"
89,Set Matrix Zeroes,58.9%,Medium,27.1,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
90,Search a 2D Matrix II,54.4%,Medium,27.1,https://leetcode.com/problems/search-a-2d-matrix-ii,"Array, Binary Search, Divide and Conquer, Matrix"
91,Word Search,44.6%,Medium,27.1,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
92,Employee Bonus,77.0%,Easy,27.1,https://leetcode.com/problems/employee-bonus,Database
93,Maximum Product Subarray,34.5%,Medium,27.1,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
94,Fizz Buzz,73.9%,Easy,27.1,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
95,First Unique Character in a String,63.2%,Easy,27.1,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
96,Intersection of Two Arrays,76.0%,Easy,27.1,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
97,Count Primes,34.4%,Medium,27.1,https://leetcode.com/problems/count-primes,"Array, Math, Enumeration, Number Theory"
98,Add Binary,55.2%,Easy,27.1,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
99,Product of Array Except Self,67.4%,Medium,27.1,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
100,Find Pivot Index,59.9%,Easy,27.1,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
