ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Longest Substring Without Repeating Characters,36.3%,Medium,100.0,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
2,Letter Combinations of a Phone Number,63.1%,Medium,90.9,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
3,Number of Islands,61.6%,Medium,84.7,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
4,Valid Parentheses,41.8%,Easy,80.9,https://leetcode.com/problems/valid-parentheses,"String, Stack"
5,Find Winner on a Tic Tac Toe Game,54.1%,Easy,76.4,https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game,"Array, Hash Table, Matrix, Simulation"
6,Reverse Nodes in k-Group,62.0%,Hard,76.4,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
7,Top K Frequent Elements,64.1%,Medium,76.4,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
8,Container With Most Water,57.2%,Medium,76.4,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
9,LRU Cache,44.4%,Medium,76.4,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
10,Word Break,47.9%,Medium,70.9,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
11,Subarray Sum Equals K,44.9%,Medium,70.9,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
12,Decode the Message,85.2%,Easy,70.9,https://leetcode.com/problems/decode-the-message,"Hash Table, String"
13,Move Zeroes,62.5%,Easy,70.9,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
14,Best Time to Buy and Sell Stock,54.8%,Easy,70.9,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
15,3Sum,36.4%,Medium,70.9,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
16,Maximum Number of Balloons,59.7%,Easy,63.9,https://leetcode.com/problems/maximum-number-of-balloons,"Hash Table, String, Counting"
17,Serialize and Deserialize BST,58.3%,Medium,63.9,https://leetcode.com/problems/serialize-and-deserialize-bst,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Search Tree, Binary Tree"
18,Generate Parentheses,76.5%,Medium,63.9,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
19,Merge k Sorted Lists,55.8%,Hard,63.9,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
20,Serialize and Deserialize Binary Tree,58.4%,Hard,63.9,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
21,Basic Calculator II,45.3%,Medium,63.9,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
22,Course Schedule II,52.6%,Medium,63.9,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
23,Design Bounded Blocking Queue,72.8%,Medium,63.9,https://leetcode.com/problems/design-bounded-blocking-queue,Concurrency
24,Find Followers Count,69.5%,Easy,53.9,https://leetcode.com/problems/find-followers-count,Database
25,Minimum Changes To Make Alternating Binary String,63.7%,Easy,53.9,https://leetcode.com/problems/minimum-changes-to-make-alternating-binary-string,String
26,Find Minimum in Rotated Sorted Array,52.2%,Medium,53.9,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
27,Combination Sum II,57.2%,Medium,53.9,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
28,Is Subsequence,48.2%,Easy,53.9,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
29,Valid Anagram,66.2%,Easy,53.9,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
30,Flatten Nested List Iterator,65.2%,Medium,53.9,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
31,Consecutive Numbers,45.4%,Medium,53.9,https://leetcode.com/problems/consecutive-numbers,Database
32,Reverse Linked List,78.7%,Easy,53.9,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
33,Max Area of Island,72.9%,Medium,53.9,https://leetcode.com/problems/max-area-of-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
34,Top K Frequent Words,58.9%,Medium,53.9,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
35,House Robber,52.0%,Medium,53.9,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
36,Design Circular Queue,52.4%,Medium,53.9,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
37,Reorganize String,55.8%,Medium,53.9,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
38,Maximal Network Rank,65.4%,Medium,53.9,https://leetcode.com/problems/maximal-network-rank,Graph
39,Construct Binary Tree from Preorder and Inorder Traversal,66.1%,Medium,53.9,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
40,Group Anagrams,70.3%,Medium,53.9,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
41,Simplify Path,46.6%,Medium,53.9,https://leetcode.com/problems/simplify-path,"String, Stack"
42,Meeting Rooms II,51.9%,Medium,53.9,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
43,Decode Ways,36.1%,Medium,53.9,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
44,Intersection of Two Linked Lists,60.3%,Easy,53.9,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
45,Trapping Rain Water,64.3%,Hard,53.9,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
