ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Count Subarrays With Median K,44.9%,Hard,100.0,https://leetcode.com/problems/count-subarrays-with-median-k,"Array, Hash Table, Prefix Sum"
2,Count Paths That Can Form a Palindrome in a Tree,47.4%,Hard,89.5,https://leetcode.com/problems/count-paths-that-can-form-a-palindrome-in-a-tree,"Dynamic Programming, Bit Manipulation, Tree, Depth-First Search, Bitmask"
3,LRU Cache,44.4%,Medium,82.0,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
4,Snakes and Ladders,44.0%,Medium,82.0,https://leetcode.com/problems/snakes-and-ladders,"Array, Breadth-First Search, Matrix"
5,Minimum Window Substring,44.7%,Hard,82.0,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
6,Minimum Number of K Consecutive Bit Flips,62.7%,Hard,71.4,https://leetcode.com/problems/minimum-number-of-k-consecutive-bit-flips,"Array, Bit Manipulation, Queue, Sliding Window, Prefix Sum"
7,Number of Islands,61.6%,Medium,71.4,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
8,Most Stones Removed with Same Row or Column,62.1%,Medium,71.4,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column,"Hash Table, Depth-First Search, Union Find, Graph"
9,Subarray Sums Divisible by K,55.5%,Medium,71.4,https://leetcode.com/problems/subarray-sums-divisible-by-k,"Array, Hash Table, Prefix Sum"
10,Interleaving String,41.4%,Medium,71.4,https://leetcode.com/problems/interleaving-string,"String, Dynamic Programming"
11,Count Pairs of Connectable Servers in a Weighted Tree Network,56.6%,Medium,71.4,https://leetcode.com/problems/count-pairs-of-connectable-servers-in-a-weighted-tree-network,"Array, Tree, Depth-First Search"
12,House Robber II,43.1%,Medium,71.4,https://leetcode.com/problems/house-robber-ii,"Array, Dynamic Programming"
