ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Number of Islands,61.6%,Medium,100.0,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
2,Course Schedule II,52.6%,Medium,99.5,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
3,LRU Cache,44.4%,Medium,94.2,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
4,Merge Intervals,48.8%,Medium,90.3,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
5,Longest Substring Without Repeating Characters,36.3%,Medium,85.6,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
6,Merge k Sorted Lists,55.8%,Hard,80.8,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
7,Search in Rotated Sorted Array,42.3%,Medium,77.4,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
8,Restore IP Addresses,52.4%,Medium,76.1,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
9,Course Schedule,48.5%,Medium,76.1,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
10,Word Search,44.6%,Medium,74.8,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
11,Longest Palindromic Substring,35.3%,Medium,73.3,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
12,Kth Largest Element in an Array,67.6%,Medium,73.3,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
13,Minimum Window Substring,44.7%,Hard,71.8,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
14,Combination Sum,73.9%,Medium,71.8,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
15,Word Ladder,41.8%,Hard,68.5,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
16,3Sum,36.4%,Medium,66.6,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
17,Binary Tree Maximum Path Sum,40.9%,Hard,66.6,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
18,Trapping Rain Water,64.3%,Hard,66.6,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
19,Best Time to Buy and Sell Stock,54.8%,Easy,66.6,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
20,Sort Colors,66.4%,Medium,64.6,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
21,Combination Sum II,57.2%,Medium,64.6,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
22,Maximum Subarray,51.7%,Medium,62.4,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
23,Decode Ways,36.1%,Medium,62.4,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
24,Sqrt(x),40.0%,Easy,62.4,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
25,Two Sum,55.1%,Easy,62.4,https://leetcode.com/problems/two-sum,"Array, Hash Table"
26,Generate Parentheses,76.5%,Medium,62.4,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
27,Edit Distance,58.2%,Medium,59.9,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
28,House Robber,52.0%,Medium,59.9,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
29,Find Peak Element,46.3%,Medium,59.9,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
30,Text Justification,47.1%,Hard,59.9,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
31,Permutations,80.1%,Medium,57.2,https://leetcode.com/problems/permutations,"Array, Backtracking"
32,Container With Most Water,57.2%,Medium,57.2,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
33,Find All Possible Recipes from Given Supplies,50.7%,Medium,57.2,https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies,"Array, Hash Table, String, Graph, Topological Sort"
34,Word Break,47.9%,Medium,57.2,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
35,Valid Parentheses,41.8%,Easy,57.2,https://leetcode.com/problems/valid-parentheses,"String, Stack"
36,Construct Binary Tree from Preorder and Inorder Traversal,66.1%,Medium,57.2,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
37,Validate Binary Search Tree,34.0%,Medium,57.2,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
38,Merge Sorted Array,52.3%,Easy,57.2,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
39,Reverse Nodes in k-Group,62.0%,Hard,57.2,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
40,Subsets,80.3%,Medium,57.2,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
41,Best Time to Buy and Sell Stock II,68.9%,Medium,57.2,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
42,N-Queens,71.7%,Hard,57.2,https://leetcode.com/problems/n-queens,"Array, Backtracking"
43,Jump Game,39.1%,Medium,57.2,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
44,Reverse Linked List,78.7%,Easy,54.1,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
45,Step-By-Step Directions From a Binary Tree Node to Another,56.4%,Medium,54.1,https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another,"String, Tree, Depth-First Search, Binary Tree"
46,Find First and Last Position of Element in Sorted Array,46.1%,Medium,54.1,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
47,Median of Two Sorted Arrays,42.9%,Hard,54.1,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
48,Reverse Linked List II,49.1%,Medium,54.1,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
49,Surrounded Regions,42.0%,Medium,54.1,https://leetcode.com/problems/surrounded-regions,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
50,Reverse Words in a String,50.1%,Medium,54.1,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
51,Spiral Matrix,52.9%,Medium,54.1,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
52,Permutations II,61.0%,Medium,50.5,https://leetcode.com/problems/permutations-ii,"Array, Backtracking, Sorting"
53,Binary Tree Right Side View,65.6%,Medium,50.5,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
54,Distinct Subsequences,49.4%,Hard,50.5,https://leetcode.com/problems/distinct-subsequences,"String, Dynamic Programming"
55,Binary Tree Level Order Traversal,69.8%,Medium,50.5,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
56,Unique Binary Search Trees,62.1%,Medium,50.5,https://leetcode.com/problems/unique-binary-search-trees,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree"
57,Group Anagrams,70.3%,Medium,50.5,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
58,Sort List,60.9%,Medium,50.5,https://leetcode.com/problems/sort-list,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort"
59,Add Two Numbers,45.4%,Medium,50.5,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
60,Maximum Product Subarray,34.5%,Medium,50.5,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
61,Missing Ranges,35.0%,Easy,50.5,https://leetcode.com/problems/missing-ranges,Array
62,Integer to Roman,67.9%,Medium,50.5,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
63,Parallel Courses III,66.8%,Hard,46.3,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph, Topological Sort"
64,Compare Version Numbers,42.0%,Medium,46.3,https://leetcode.com/problems/compare-version-numbers,"Two Pointers, String"
65,Fraction to Recurring Decimal,25.9%,Medium,46.3,https://leetcode.com/problems/fraction-to-recurring-decimal,"Hash Table, Math, String"
66,Regular Expression Matching,29.0%,Hard,46.3,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
67,Path Sum II,60.0%,Medium,46.3,https://leetcode.com/problems/path-sum-ii,"Backtracking, Tree, Depth-First Search, Binary Tree"
68,Multiply Strings,41.8%,Medium,46.3,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
69,Longest Valid Parentheses,35.7%,Hard,46.3,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
70,Minimum Size Subarray Sum,48.7%,Medium,46.3,https://leetcode.com/problems/minimum-size-subarray-sum,"Array, Binary Search, Sliding Window, Prefix Sum"
71,Next Permutation,42.3%,Medium,46.3,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
