ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,LRU Cache,44.4%,Medium,92.0,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
2,Merge Intervals,48.8%,Medium,90.6,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
3,Longest Substring Without Repeating Characters,36.3%,Medium,86.3,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
4,Word Search,44.6%,Medium,79.4,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
5,Merge k Sorted Lists,55.8%,Hard,78.6,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
6,Search in Rotated Sorted Array,42.3%,Medium,76.8,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
7,Minimum Window Substring,44.7%,Hard,75.9,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
8,Longest Palindromic Substring,35.3%,Medium,75.0,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
9,Trapping Rain Water,64.3%,Hard,74.0,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
10,Combination Sum,73.9%,Medium,71.8,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
11,Word Ladder,41.8%,Hard,70.7,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
12,Restore IP Addresses,52.4%,Medium,70.7,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
13,3Sum,36.4%,Medium,68.2,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
14,Sort Colors,66.4%,Medium,68.2,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
15,Best Time to Buy and Sell Stock,54.8%,Easy,66.8,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
16,Binary Tree Maximum Path Sum,40.9%,Hard,66.8,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
17,Valid Parentheses,41.8%,Easy,65.4,https://leetcode.com/problems/valid-parentheses,"String, Stack"
18,Sqrt(x),40.0%,Easy,65.4,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
19,Word Break II,52.9%,Hard,63.8,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
20,Two Sum,55.1%,Easy,63.8,https://leetcode.com/problems/two-sum,"Array, Hash Table"
21,Generate Parentheses,76.5%,Medium,62.2,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
22,Text Justification,47.1%,Hard,62.2,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
23,Combination Sum II,57.2%,Medium,62.2,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
24,Edit Distance,58.2%,Medium,60.4,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
25,Spiral Matrix,52.9%,Medium,60.4,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
26,Maximum Subarray,51.7%,Medium,60.4,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
27,N-Queens,71.7%,Hard,60.4,https://leetcode.com/problems/n-queens,"Array, Backtracking"
28,Word Break,47.9%,Medium,60.4,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
29,Find Peak Element,46.3%,Medium,60.4,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
30,Permutations,80.1%,Medium,58.4,https://leetcode.com/problems/permutations,"Array, Backtracking"
31,Decode Ways,36.1%,Medium,58.4,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
32,Find First and Last Position of Element in Sorted Array,46.1%,Medium,58.4,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
33,Find All Possible Recipes from Given Supplies,50.7%,Medium,56.3,https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies,"Array, Hash Table, String, Graph, Topological Sort"
34,Subsets,80.3%,Medium,56.3,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
35,Best Time to Buy and Sell Stock II,68.9%,Medium,56.3,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
36,Reverse Nodes in k-Group,62.0%,Hard,56.3,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
37,Construct Binary Tree from Preorder and Inorder Traversal,66.1%,Medium,53.9,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
38,Merge Sorted Array,52.3%,Easy,53.9,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
39,Jump Game,39.1%,Medium,53.9,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
40,Regular Expression Matching,29.0%,Hard,53.9,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
41,Group Anagrams,70.3%,Medium,53.9,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
42,Container With Most Water,57.2%,Medium,53.9,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
43,Validate Binary Search Tree,34.0%,Medium,51.3,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
44,Median of Two Sorted Arrays,42.9%,Hard,51.3,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
45,Step-By-Step Directions From a Binary Tree Node to Another,56.4%,Medium,51.3,https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another,"String, Tree, Depth-First Search, Binary Tree"
46,Reorder List,61.6%,Medium,51.3,https://leetcode.com/problems/reorder-list,"Linked List, Two Pointers, Stack, Recursion"
47,Unique Binary Search Trees,62.1%,Medium,51.3,https://leetcode.com/problems/unique-binary-search-trees,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree"
48,Next Permutation,42.3%,Medium,51.3,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
49,Reverse Words in a String,50.1%,Medium,48.3,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
50,Surrounded Regions,42.0%,Medium,48.3,https://leetcode.com/problems/surrounded-regions,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
51,Jump Game II,41.1%,Medium,48.3,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
52,Sort List,60.9%,Medium,48.3,https://leetcode.com/problems/sort-list,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort"
53,Find Minimum in Rotated Sorted Array,52.2%,Medium,48.3,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
54,Reverse Linked List II,49.1%,Medium,48.3,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
55,Longest Consecutive Sequence,47.2%,Medium,48.3,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
56,Add Two Numbers,45.4%,Medium,48.3,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
57,Compare Version Numbers,42.0%,Medium,48.3,https://leetcode.com/problems/compare-version-numbers,"Two Pointers, String"
58,Missing Ranges,35.0%,Easy,44.9,https://leetcode.com/problems/missing-ranges,Array
59,Integer to Roman,67.9%,Medium,44.9,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
60,Climbing Stairs,53.3%,Easy,44.9,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
61,Longest Common Prefix,44.9%,Easy,44.9,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
62,Distinct Subsequences,49.4%,Hard,44.9,https://leetcode.com/problems/distinct-subsequences,"String, Dynamic Programming"
63,Path Sum II,60.0%,Medium,44.9,https://leetcode.com/problems/path-sum-ii,"Backtracking, Tree, Depth-First Search, Binary Tree"
64,Parallel Courses III,66.8%,Hard,44.9,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph, Topological Sort"
65,Binary Tree Level Order Traversal,69.8%,Medium,44.9,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
66,Permutations II,61.0%,Medium,44.9,https://leetcode.com/problems/permutations-ii,"Array, Backtracking, Sorting"
67,Maximum Product Subarray,34.5%,Medium,44.9,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
68,Longest Valid Parentheses,35.7%,Hard,44.9,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
69,Intersection of Two Linked Lists,60.3%,Easy,40.9,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
70,Multiply Strings,41.8%,Medium,40.9,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
71,Fraction to Recurring Decimal,25.9%,Medium,40.9,https://leetcode.com/problems/fraction-to-recurring-decimal,"Hash Table, Math, String"
72,Insert Interval,42.9%,Medium,40.9,https://leetcode.com/problems/insert-interval,Array
73,"Pow(x, n)",36.5%,Medium,40.9,https://leetcode.com/problems/powx-n,"Math, Recursion"
74,Longest Substring with At Most Two Distinct Characters,56.1%,Medium,40.9,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters,"Hash Table, String, Sliding Window"
75,Merge Two Sorted Lists,66.3%,Easy,40.9,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
76,Find Target Indices After Sorting Array,77.1%,Easy,36.1,https://leetcode.com/problems/find-target-indices-after-sorting-array,"Array, Binary Search, Sorting"
77,Simplify Path,46.6%,Medium,36.1,https://leetcode.com/problems/simplify-path,"String, Stack"
78,Spiral Matrix II,72.9%,Medium,36.1,https://leetcode.com/problems/spiral-matrix-ii,"Array, Matrix, Simulation"
79,Binary Tree Zigzag Level Order Traversal,61.0%,Medium,36.1,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
80,Remove Duplicates from Sorted Array II,62.2%,Medium,36.1,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,"Array, Two Pointers"
81,Symmetric Tree,58.6%,Easy,36.1,https://leetcode.com/problems/symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
82,Minimum Path Sum,65.8%,Medium,36.1,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
83,Valid Palindrome,50.2%,Easy,36.1,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
84,Word Ladder II,27.1%,Hard,29.9,https://leetcode.com/problems/word-ladder-ii,"Hash Table, String, Backtracking, Breadth-First Search"
85,Unique Paths,65.4%,Medium,29.9,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
86,Swap Nodes in Pairs,66.5%,Medium,29.9,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
87,Plus One,47.0%,Easy,29.9,https://leetcode.com/problems/plus-one,"Array, Math"
88,Maximal Rectangle,52.9%,Hard,29.9,https://leetcode.com/problems/maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
89,4Sum,37.6%,Medium,29.9,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
90,Best Time to Buy and Sell Stock III,50.3%,Hard,29.9,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,"Array, Dynamic Programming"
91,Recover Binary Search Tree,55.5%,Medium,29.9,https://leetcode.com/problems/recover-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
92,Linked List Cycle II,54.0%,Medium,29.9,https://leetcode.com/problems/linked-list-cycle-ii,"Hash Table, Linked List, Two Pointers"
93,Path Sum,52.4%,Easy,29.9,https://leetcode.com/problems/path-sum,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
94,First Missing Positive,40.6%,Hard,21.8,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
95,Subsets II,58.9%,Medium,21.8,https://leetcode.com/problems/subsets-ii,"Array, Backtracking, Bit Manipulation"
96,Divide Two Integers,18.1%,Medium,21.8,https://leetcode.com/problems/divide-two-integers,"Math, Bit Manipulation"
97,Valid Number,21.1%,Hard,21.8,https://leetcode.com/problems/valid-number,String
98,Clone Graph,61.2%,Medium,21.8,https://leetcode.com/problems/clone-graph,"Hash Table, Depth-First Search, Breadth-First Search, Graph"
99,Valid Sudoku,61.7%,Medium,21.8,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
100,Interleaving String,41.4%,Medium,21.8,https://leetcode.com/problems/interleaving-string,"String, Dynamic Programming"
