ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Longest Substring Without Repeating Characters,36.3%,Medium,100.0,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
2,Min Stack,55.9%,Medium,91.4,https://leetcode.com/problems/min-stack,"Stack, Design"
3,Keys and Rooms,74.2%,Medium,85.5,https://leetcode.com/problems/keys-and-rooms,"Depth-First Search, Breadth-First Search, Graph"
4,Two Sum,55.1%,Easy,85.5,https://leetcode.com/problems/two-sum,"Array, Hash Table"
5,Rotate Image,77.2%,Medium,81.9,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
6,Backspace String Compare,49.4%,Easy,77.7,https://leetcode.com/problems/backspace-string-compare,"Two Pointers, String, Stack, Simulation"
7,Simplify Path,46.6%,Medium,77.7,https://leetcode.com/problems/simplify-path,"String, Stack"
8,Longest Subarray of 1's After Deleting One Element,68.8%,Medium,72.5,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element,"Array, Dynamic Programming, Sliding Window"
9,Longest Palindromic Substring,35.3%,Medium,72.5,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
10,Battleships in a Board,76.2%,Medium,65.8,https://leetcode.com/problems/battleships-in-a-board,"Array, Depth-First Search, Matrix"
11,Count Square Submatrices with All Ones,78.5%,Medium,65.8,https://leetcode.com/problems/count-square-submatrices-with-all-ones,"Array, Dynamic Programming, Matrix"
12,Event Emitter,74.3%,Medium,65.8,https://leetcode.com/problems/event-emitter,
13,Search in Rotated Sorted Array,42.3%,Medium,65.8,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
14,Search a 2D Matrix,51.8%,Medium,65.8,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
15,Subarray Sums Divisible by K,55.5%,Medium,65.8,https://leetcode.com/problems/subarray-sums-divisible-by-k,"Array, Hash Table, Prefix Sum"
16,Daily Temperatures,67.0%,Medium,65.8,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
17,Maximize Distance to Closest Person,48.7%,Medium,65.8,https://leetcode.com/problems/maximize-distance-to-closest-person,Array
18,Find All Numbers Disappeared in an Array,62.0%,Easy,56.4,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array,"Array, Hash Table"
19,Meeting Rooms II,51.9%,Medium,56.4,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
20,Valid Palindrome,50.2%,Easy,56.4,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
21,Subarray Sum Equals K,44.9%,Medium,56.4,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
22,Paint House,63.4%,Medium,56.4,https://leetcode.com/problems/paint-house,"Array, Dynamic Programming"
23,Squares of a Sorted Array,73.1%,Easy,56.4,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
24,Department Highest Salary,53.9%,Medium,56.4,https://leetcode.com/problems/department-highest-salary,Database
25,Monotonic Array,61.6%,Easy,56.4,https://leetcode.com/problems/monotonic-array,Array
26,Is Subsequence,48.2%,Easy,56.4,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
27,Best Time to Buy and Sell Stock,54.8%,Easy,56.4,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
28,Find First and Last Position of Element in Sorted Array,46.1%,Medium,56.4,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
29,Decode String,60.7%,Medium,56.4,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
