ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Longest Substring Without Repeating Characters,36.3%,Medium,100.0,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
2,Min Stack,55.9%,Medium,92.1,https://leetcode.com/problems/min-stack,"Stack, Design"
3,Two Sum,55.1%,Easy,89.6,https://leetcode.com/problems/two-sum,"Array, Hash Table"
4,Keys and Rooms,74.2%,Medium,83.7,https://leetcode.com/problems/keys-and-rooms,"Depth-First Search, Breadth-First Search, Graph"
5,Rotate Image,77.2%,Medium,80.1,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
6,Longest Palindromic Substring,35.3%,Medium,75.8,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
7,Simplify Path,46.6%,Medium,75.8,https://leetcode.com/problems/simplify-path,"String, Stack"
8,Backspace String Compare,49.4%,Easy,75.8,https://leetcode.com/problems/backspace-string-compare,"Two Pointers, String, Stack, Simulation"
9,Form Smallest Number From Two Digit Arrays,54.5%,Easy,70.6,https://leetcode.com/problems/form-smallest-number-from-two-digit-arrays,"Array, Hash Table, Enumeration"
10,Number of Islands,61.6%,Medium,70.6,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
11,Battleships in a Board,76.2%,Medium,70.6,https://leetcode.com/problems/battleships-in-a-board,"Array, Depth-First Search, Matrix"
12,Find All Numbers Disappeared in an Array,62.0%,Easy,70.6,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array,"Array, Hash Table"
13,Find First and Last Position of Element in Sorted Array,46.1%,Medium,70.6,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
14,Longest Subarray of 1's After Deleting One Element,68.8%,Medium,70.6,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element,"Array, Dynamic Programming, Sliding Window"
15,Search a 2D Matrix,51.8%,Medium,70.6,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
16,Count Square Submatrices with All Ones,78.5%,Medium,63.8,https://leetcode.com/problems/count-square-submatrices-with-all-ones,"Array, Dynamic Programming, Matrix"
17,Event Emitter,74.3%,Medium,63.8,https://leetcode.com/problems/event-emitter,
18,Minimum Difference Between Highest and Lowest of K Scores,58.2%,Easy,63.8,https://leetcode.com/problems/minimum-difference-between-highest-and-lowest-of-k-scores,"Array, Sliding Window, Sorting"
19,Decode String,60.7%,Medium,63.8,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
20,Subarray Sums Divisible by K,55.5%,Medium,63.8,https://leetcode.com/problems/subarray-sums-divisible-by-k,"Array, Hash Table, Prefix Sum"
21,Search in Rotated Sorted Array,42.3%,Medium,63.8,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
22,Daily Temperatures,67.0%,Medium,63.8,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
23,Maximize Distance to Closest Person,48.7%,Medium,63.8,https://leetcode.com/problems/maximize-distance-to-closest-person,Array
24,Squares of a Sorted Array,73.1%,Easy,54.4,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
25,Meeting Rooms II,51.9%,Medium,54.4,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
26,Is Subsequence,48.2%,Easy,54.4,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
27,Department Highest Salary,53.9%,Medium,54.4,https://leetcode.com/problems/department-highest-salary,Database
28,Monotonic Array,61.6%,Easy,54.4,https://leetcode.com/problems/monotonic-array,Array
29,Remove Nth Node From End of List,48.1%,Medium,54.4,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
30,Best Time to Buy and Sell Stock,54.8%,Easy,54.4,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
31,Line Reflection,35.9%,Medium,54.4,https://leetcode.com/problems/line-reflection,"Array, Hash Table, Math"
32,Isomorphic Strings,46.4%,Easy,54.4,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
33,Subarray Sum Equals K,44.9%,Medium,54.4,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
34,Paint House,63.4%,Medium,54.4,https://leetcode.com/problems/paint-house,"Array, Dynamic Programming"
35,Merge Sorted Array,52.3%,Easy,54.4,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
36,Valid Palindrome,50.2%,Easy,54.4,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
