ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Valid Parentheses,41.8%,Easy,100.0,https://leetcode.com/problems/valid-parentheses,"String, Stack"
2,Longest Substring Without Repeating Characters,36.3%,Medium,82.1,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
3,Baseball Game,78.2%,Easy,80.2,https://leetcode.com/problems/baseball-game,"Array, Stack, Simulation"
4,Climbing Stairs,53.3%,Easy,66.4,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
5,Longest Common Prefix,44.9%,Easy,66.4,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
6,Find the Town Judge,49.9%,Easy,62.0,https://leetcode.com/problems/find-the-town-judge,"Array, Hash Table, Graph"
7,Longest Consecutive Sequence,47.2%,Medium,62.0,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
8,Number of Islands,61.6%,Medium,62.0,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
9,Longest Repeating Character Replacement,56.4%,Medium,56.2,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
10,Minimum Cost For Tickets,67.4%,Medium,56.2,https://leetcode.com/problems/minimum-cost-for-tickets,"Array, Dynamic Programming"
11,Maximum Number of Vowels in a Substring of Given Length,59.8%,Medium,56.2,https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length,"String, Sliding Window"
12,Merge Intervals,48.8%,Medium,56.2,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
13,Maximum Subarray,51.7%,Medium,56.2,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
14,Find Duplicate File in System,67.6%,Medium,56.2,https://leetcode.com/problems/find-duplicate-file-in-system,"Array, Hash Table, String"
15,Two Sum,55.1%,Easy,48.2,https://leetcode.com/problems/two-sum,"Array, Hash Table"
16,Validate IP Address,27.7%,Medium,48.2,https://leetcode.com/problems/validate-ip-address,String
17,Consecutive Numbers,45.4%,Medium,48.2,https://leetcode.com/problems/consecutive-numbers,Database
18,Longest Palindromic Substring,35.3%,Medium,48.2,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
19,Product of Array Except Self,67.4%,Medium,48.2,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
20,House Robber,52.0%,Medium,48.2,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
21,Valid Palindrome,50.2%,Easy,48.2,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
22,Regular Expression Matching,29.0%,Hard,48.2,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
23,Degree of an Array,57.1%,Easy,48.2,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
24,Maximum Depth of Binary Tree,76.8%,Easy,48.2,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
25,Spiral Matrix,52.9%,Medium,48.2,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
