ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Valid Parentheses,41.8%,Easy,100.0,https://leetcode.com/problems/valid-parentheses,"String, Stack"
2,Longest Substring Without Repeating Characters,36.3%,Medium,86.9,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
3,Baseball Game,78.2%,Easy,80.4,https://leetcode.com/problems/baseball-game,"Array, Stack, Simulation"
4,Minimum Cost For Tickets,67.4%,Medium,70.8,https://leetcode.com/problems/minimum-cost-for-tickets,"Array, Dynamic Programming"
5,Koko Eating Bananas,48.8%,Medium,68.2,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
6,Longest Common Prefix,44.9%,Easy,65.2,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
7,Number of Islands,61.6%,Medium,65.2,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
8,Find the Town Judge,49.9%,Easy,61.6,https://leetcode.com/problems/find-the-town-judge,"Array, Hash Table, Graph"
9,Validate IP Address,27.7%,Medium,61.6,https://leetcode.com/problems/validate-ip-address,String
10,Climbing Stairs,53.3%,Easy,61.6,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
11,Maximum Subarray,51.7%,Medium,57.2,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
12,Longest Consecutive Sequence,47.2%,Medium,57.2,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
13,Partition Array Into Three Parts With Equal Sum,42.0%,Easy,51.5,https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum,"Array, Greedy"
14,Product of Array Except Self,67.4%,Medium,51.5,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
15,Longest Repeating Character Replacement,56.4%,Medium,51.5,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
16,Degree of an Array,57.1%,Easy,51.5,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
17,Maximum Number of Vowels in a Substring of Given Length,59.8%,Medium,51.5,https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length,"String, Sliding Window"
18,Regular Expression Matching,29.0%,Hard,51.5,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
19,Find Duplicate File in System,67.6%,Medium,51.5,https://leetcode.com/problems/find-duplicate-file-in-system,"Array, Hash Table, String"
20,Merge Intervals,48.8%,Medium,51.5,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
21,Race Car,44.0%,Hard,43.5,https://leetcode.com/problems/race-car,Dynamic Programming
22,Find First and Last Position of Element in Sorted Array,46.1%,Medium,43.5,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
23,Reverse Only Letters,66.4%,Easy,43.5,https://leetcode.com/problems/reverse-only-letters,"Two Pointers, String"
24,Minimum Length of Anagram Concatenation,41.4%,Medium,43.5,https://leetcode.com/problems/minimum-length-of-anagram-concatenation,"Hash Table, String, Counting"
25,Find All Anagrams in a String,51.8%,Medium,43.5,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
26,Best Time to Buy and Sell Stock,54.8%,Easy,43.5,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
27,Spiral Matrix,52.9%,Medium,43.5,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
28,Kth Largest Element in an Array,67.6%,Medium,43.5,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
29,Sum of Left Leaves,61.4%,Easy,43.5,https://leetcode.com/problems/sum-of-left-leaves,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
30,Valid Palindrome,50.2%,Easy,43.5,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
31,Maximum Repeating Substring,39.3%,Easy,43.5,https://leetcode.com/problems/maximum-repeating-substring,"String, Dynamic Programming, String Matching"
32,Number of Subsequences That Satisfy the Given Sum Condition,43.8%,Medium,43.5,https://leetcode.com/problems/number-of-subsequences-that-satisfy-the-given-sum-condition,"Array, Two Pointers, Binary Search, Sorting"
33,Longest Palindromic Substring,35.3%,Medium,43.5,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
34,Maximum Depth of Binary Tree,76.8%,Easy,43.5,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
35,House Robber,52.0%,Medium,43.5,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
36,Two Sum,55.1%,Easy,43.5,https://leetcode.com/problems/two-sum,"Array, Hash Table"
37,Consecutive Numbers,45.4%,Medium,43.5,https://leetcode.com/problems/consecutive-numbers,Database
38,Jump Game,39.1%,Medium,43.5,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
