ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Two Sum,55.1%,Easy,100.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
2,Roman to Integer,64.2%,Easy,79.2,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
3,Add Two Numbers,45.4%,Medium,75.0,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
4,Longest Common Prefix,44.9%,Easy,75.0,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
5,Valid Parentheses,41.8%,Easy,74.1,https://leetcode.com/problems/valid-parentheses,"String, Stack"
6,Merge Sorted Array,52.3%,Easy,73.1,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
7,Best Time to Buy and Sell Stock,54.8%,Easy,72.1,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
8,Reverse Integer,29.9%,Medium,68.6,https://leetcode.com/problems/reverse-integer,Math
9,Merge Two Sorted Lists,66.3%,Easy,68.6,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
10,Trapping Rain Water,64.3%,Hard,67.4,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
11,Word Search,44.6%,Medium,67.4,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
12,3Sum,36.4%,Medium,67.4,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
13,Group Anagrams,70.3%,Medium,67.4,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
14,Median of Two Sorted Arrays,42.9%,Hard,66.0,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
15,Remove Element,59.4%,Easy,66.0,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
16,Text Justification,47.1%,Hard,64.6,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
17,Longest Palindromic Substring,35.3%,Medium,64.6,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
18,Next Permutation,42.3%,Medium,64.6,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
19,Rotate Image,77.2%,Medium,63.1,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
20,Sqrt(x),40.0%,Easy,63.1,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
21,Merge Intervals,48.8%,Medium,63.1,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
22,Generate Parentheses,76.5%,Medium,61.4,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
23,Search in Rotated Sorted Array,42.3%,Medium,61.4,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
24,Jump Game II,41.1%,Medium,61.4,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
25,Valid Sudoku,61.7%,Medium,61.4,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
26,Remove Duplicates from Sorted Array,59.5%,Easy,61.4,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
27,Climbing Stairs,53.3%,Easy,59.7,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
28,Find the Index of the First Occurrence in a String,44.5%,Easy,59.7,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
29,Container With Most Water,57.2%,Medium,59.7,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
30,Longest Substring Without Repeating Characters,36.3%,Medium,59.7,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
31,Palindrome Number,58.7%,Easy,59.7,https://leetcode.com/problems/palindrome-number,Math
32,Maximum Subarray,51.7%,Medium,57.7,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
33,Letter Combinations of a Phone Number,63.1%,Medium,57.7,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
34,Search Insert Position,48.3%,Easy,55.6,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
35,Binary Tree Level Order Traversal,69.8%,Medium,55.6,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
36,Plus One,47.0%,Easy,55.6,https://leetcode.com/problems/plus-one,"Array, Math"
37,Longest Valid Parentheses,35.7%,Hard,55.6,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
38,Largest Rectangle in Histogram,46.6%,Hard,55.6,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
39,Longest Consecutive Sequence,47.2%,Medium,55.6,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
40,Pascal's Triangle,76.4%,Easy,53.3,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
41,Find First and Last Position of Element in Sorted Array,46.1%,Medium,53.3,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
42,Valid Palindrome,50.2%,Easy,53.3,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
