ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Two Sum,55.1%,Easy,94.9,https://leetcode.com/problems/two-sum,"Array, Hash Table"
2,Roman to Integer,64.2%,Easy,77.2,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
3,Best Time to Buy and Sell Stock,54.8%,Easy,74.1,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
4,Text Justification,47.1%,Hard,72.8,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
5,Word Search,44.6%,Medium,72.0,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
6,Spiral Matrix,52.9%,Medium,70.5,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
7,Group Anagrams,70.3%,Medium,69.7,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
8,Valid Sudoku,61.7%,Medium,68.0,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
9,Add Two Numbers,45.4%,Medium,68.0,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
10,Longest Common Prefix,44.9%,Easy,68.0,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
11,Valid Parentheses,41.8%,Easy,67.1,https://leetcode.com/problems/valid-parentheses,"String, Stack"
12,Search in Rotated Sorted Array,42.3%,Medium,66.2,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
13,Merge Sorted Array,52.3%,Easy,66.2,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
14,Generate Parentheses,76.5%,Medium,65.2,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
15,Letter Combinations of a Phone Number,63.1%,Medium,65.2,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
16,Trapping Rain Water,64.3%,Hard,64.2,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
17,Rotate Image,77.2%,Medium,64.2,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
18,Minimum Window Substring,44.7%,Hard,63.1,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
19,Reverse Integer,29.9%,Medium,63.1,https://leetcode.com/problems/reverse-integer,Math
20,Remove Element,59.4%,Easy,61.9,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
21,Merge Two Sorted Lists,66.3%,Easy,61.9,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
22,3Sum,36.4%,Medium,60.7,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
23,Valid Palindrome,50.2%,Easy,60.7,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
24,Next Permutation,42.3%,Medium,60.7,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
25,Median of Two Sorted Arrays,42.9%,Hard,60.7,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
26,Decode Ways,36.1%,Medium,59.4,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
27,Longest Palindromic Substring,35.3%,Medium,58.1,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
28,Maximum Depth of Binary Tree,76.8%,Easy,56.6,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
29,Sqrt(x),40.0%,Easy,56.6,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
