ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Search in Rotated Sorted Array,42.3%,Medium,100.0,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
2,Two Sum,55.1%,Easy,96.3,https://leetcode.com/problems/two-sum,"Array, Hash Table"
3,Best Time to Buy and Sell Stock,54.8%,Easy,92.1,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
4,Group Anagrams,70.3%,Medium,92.1,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
5,Split the Array,59.4%,Easy,87.1,https://leetcode.com/problems/split-the-array,"Array, Hash Table, Counting"
6,Longest Common Prefix,44.9%,Easy,81.0,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
7,Text Justification,47.1%,Hard,73.1,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
8,Create Target Array in the Given Order,86.2%,Easy,73.1,https://leetcode.com/problems/create-target-array-in-the-given-order,"Array, Simulation"
9,Rotate String,63.5%,Easy,73.1,https://leetcode.com/problems/rotate-string,"String, String Matching"
10,Daily Temperatures,67.0%,Medium,73.1,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
11,Maximum Number of Events That Can Be Attended,32.7%,Medium,73.1,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,"Array, Greedy, Sorting, Heap (Priority Queue)"
12,Reverse Words in a String,50.1%,Medium,73.1,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
13,Search a 2D Matrix,51.8%,Medium,73.1,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
14,3Sum,36.4%,Medium,73.1,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
15,Longest Substring Without Repeating Characters,36.3%,Medium,73.1,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
16,Median of Two Sorted Arrays,42.9%,Hard,73.1,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
17,Trapping Rain Water,64.3%,Hard,73.1,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
18,Walls and Gates,62.6%,Medium,73.1,https://leetcode.com/problems/walls-and-gates,"Array, Breadth-First Search, Matrix"
19,Longest Palindromic Substring,35.3%,Medium,73.1,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
20,Course Schedule,48.5%,Medium,73.1,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
21,Count Nodes With the Highest Score,50.9%,Medium,62.0,https://leetcode.com/problems/count-nodes-with-the-highest-score,"Array, Tree, Depth-First Search, Binary Tree"
22,Happy Number,57.6%,Easy,62.0,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
23,Odd String Difference,60.7%,Easy,62.0,https://leetcode.com/problems/odd-string-difference,"Array, Hash Table, String"
24,Earliest Possible Day of Full Bloom,71.3%,Hard,62.0,https://leetcode.com/problems/earliest-possible-day-of-full-bloom,"Array, Greedy, Sorting"
25,Product of Array Except Self,67.4%,Medium,62.0,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
26,Two Furthest Houses With Different Colors,65.5%,Easy,62.0,https://leetcode.com/problems/two-furthest-houses-with-different-colors,"Array, Greedy"
27,Match Alphanumerical Pattern in Matrix I,63.2%,Medium,62.0,https://leetcode.com/problems/match-alphanumerical-pattern-in-matrix-i,"Array, Hash Table, String, Matrix"
