ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Length of Longest V-Shaped Diagonal Segment,38.9%,Hard,100.0,https://leetcode.com/problems/length-of-longest-v-shaped-diagonal-segment,"Array, Dynamic Programming, Memoization, Matrix"
2,Two Sum,55.1%,Easy,96.9,https://leetcode.com/problems/two-sum,"Array, Hash Table"
3,Split the Array,59.4%,Easy,95.2,https://leetcode.com/problems/split-the-array,"Array, Hash Table, Counting"
4,Create Target Array in the Given Order,86.2%,Easy,91.4,https://leetcode.com/problems/create-target-array-in-the-given-order,"Array, Simulation"
5,Maximum Number of Events That Can Be Attended,32.7%,Medium,89.2,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,"Array, Greedy, Sorting, Heap (Priority Queue)"
6,Two Furthest Houses With Different Colors,65.5%,Easy,86.8,https://leetcode.com/problems/two-furthest-houses-with-different-colors,"Array, Greedy"
7,Earliest Possible Day of Full Bloom,71.3%,Hard,86.8,https://leetcode.com/problems/earliest-possible-day-of-full-bloom,"Array, Greedy, Sorting"
8,Match Alphanumerical Pattern in Matrix I,63.2%,Medium,86.8,https://leetcode.com/problems/match-alphanumerical-pattern-in-matrix-i,"Array, Hash Table, String, Matrix"
9,Divisor Game,69.9%,Easy,86.8,https://leetcode.com/problems/divisor-game,"Math, Dynamic Programming, Brainteaser, Game Theory"
10,Count Nodes With the Highest Score,50.9%,Medium,86.8,https://leetcode.com/problems/count-nodes-with-the-highest-score,"Array, Tree, Depth-First Search, Binary Tree"
11,Odd String Difference,60.7%,Easy,86.8,https://leetcode.com/problems/odd-string-difference,"Array, Hash Table, String"
12,Search in Rotated Sorted Array,42.3%,Medium,84.2,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
13,Group Anagrams,70.3%,Medium,81.3,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
14,3Sum,36.4%,Medium,81.3,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
15,Longest Common Prefix,44.9%,Easy,81.3,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
16,Best Time to Buy and Sell Stock,54.8%,Easy,81.3,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
17,Trapping Rain Water,64.3%,Hard,78.0,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
18,Valid Parentheses,41.8%,Easy,74.2,https://leetcode.com/problems/valid-parentheses,"String, Stack"
19,Text Justification,47.1%,Hard,74.2,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
20,LRU Cache,44.4%,Medium,74.2,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
21,Longest Substring Without Repeating Characters,36.3%,Medium,69.7,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
