ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Make Array Non-decreasing or Non-increasing,65.3%,Hard,100.0,https://leetcode.com/problems/make-array-non-decreasing-or-non-increasing,"Dynamic Programming, Greedy"
2,Find Palindrome With Fixed Length,37.4%,Medium,100.0,https://leetcode.com/problems/find-palindrome-with-fixed-length,"Array, Math"
3,Break a Palindrome,51.5%,Medium,100.0,https://leetcode.com/problems/break-a-palindrome,"String, Greedy"
4,Median of Two Sorted Arrays,42.9%,Hard,91.1,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
5,Best Time to Buy and Sell Stock,54.8%,Easy,82.8,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
6,LRU Cache,44.4%,Medium,77.2,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
7,Two Sum,55.1%,Easy,77.2,https://leetcode.com/problems/two-sum,"Array, Hash Table"
8,Course Schedule,48.5%,Medium,70.1,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
9,Search in Rotated Sorted Array,42.3%,Medium,70.1,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
10,Time Based Key-Value Store,49.4%,Medium,70.1,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
11,Next Permutation,42.3%,Medium,70.1,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
12,Koko Eating Bananas,48.8%,Medium,60.1,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
13,Longest Common Prefix,44.9%,Easy,60.1,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
14,Longest Palindromic Substring,35.3%,Medium,60.1,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
15,Course Schedule II,52.6%,Medium,60.1,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
16,Copy List with Random Pointer,59.5%,Medium,60.1,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
17,Integer to Roman,67.9%,Medium,60.1,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
18,Consecutive Numbers Sum,42.0%,Hard,60.1,https://leetcode.com/problems/consecutive-numbers-sum,"Math, Enumeration"
19,Construct Binary Tree from Preorder and Inorder Traversal,66.1%,Medium,60.1,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
20,Validate Binary Search Tree,34.0%,Medium,60.1,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
21,Sort Colors,66.4%,Medium,60.1,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
22,Climbing Stairs,53.3%,Easy,60.1,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
23,Reverse Nodes in k-Group,62.0%,Hard,60.1,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
24,Rotting Oranges,56.0%,Medium,60.1,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
