ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,LRU Cache,44.4%,Medium,100.0,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
2,Longest Substring Without Repeating Characters,36.3%,Medium,100.0,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
3,Max Stack,45.3%,Hard,89.4,https://leetcode.com/problems/max-stack,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set"
4,Best Time to Buy and Sell Stock,54.8%,Easy,87.4,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
5,Valid Parentheses,41.8%,Easy,85.2,https://leetcode.com/problems/valid-parentheses,"String, Stack"
6,Trapping Rain Water,64.3%,Hard,77.4,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
7,Sort Colors,66.4%,Medium,77.4,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
8,Word Break,47.9%,Medium,74.1,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
9,Group Anagrams,70.3%,Medium,74.1,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
10,All Nodes Distance K in Binary Tree,65.9%,Medium,74.1,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
11,Longest Palindromic Substring,35.3%,Medium,74.1,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
12,Spiral Matrix,52.9%,Medium,74.1,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
13,Move Zeroes,62.5%,Easy,70.3,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
14,Kth Largest Element in an Array,67.6%,Medium,70.3,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
15,Number of Islands,61.6%,Medium,70.3,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
16,3Sum,36.4%,Medium,70.3,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
17,Copy List with Random Pointer,59.5%,Medium,65.8,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
18,Rotate Array,42.5%,Medium,65.8,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
19,Top K Frequent Elements,64.1%,Medium,65.8,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
