ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Longest Substring Without Repeating Characters,36.3%,Medium,100.0,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
2,LRU Cache,44.4%,Medium,96.1,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
3,Max Stack,45.3%,Hard,88.9,https://leetcode.com/problems/max-stack,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set"
4,Valid Parentheses,41.8%,Easy,84.2,https://leetcode.com/problems/valid-parentheses,"String, Stack"
5,Best Time to Buy and Sell Stock,54.8%,Easy,84.2,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
6,Divide Intervals Into Minimum Number of Groups,63.7%,Medium,78.4,https://leetcode.com/problems/divide-intervals-into-minimum-number-of-groups,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
7,Group Anagrams,70.3%,Medium,78.4,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
8,Two Sum,55.1%,Easy,76.1,https://leetcode.com/problems/two-sum,"Array, Hash Table"
9,Number of Ways to Separate Numbers,21.1%,Hard,76.1,https://leetcode.com/problems/number-of-ways-to-separate-numbers,"String, Dynamic Programming, Suffix Array"
10,Middle of the Linked List,80.1%,Easy,76.1,https://leetcode.com/problems/middle-of-the-linked-list,"Linked List, Two Pointers"
11,Maximum Number of Tasks You Can Assign,33.8%,Hard,76.1,https://leetcode.com/problems/maximum-number-of-tasks-you-can-assign,"Array, Binary Search, Greedy, Queue, Sorting, Monotonic Queue"
12,Minimum Operations to Make Array Equal II,32.1%,Medium,76.1,https://leetcode.com/problems/minimum-operations-to-make-array-equal-ii,"Array, Math, Greedy"
13,Minimum Number of Operations to Make Arrays Similar,61.4%,Hard,76.1,https://leetcode.com/problems/minimum-number-of-operations-to-make-arrays-similar,"Array, Greedy, Sorting"
14,Count Good Triplets in an Array,42.0%,Hard,76.1,https://leetcode.com/problems/count-good-triplets-in-an-array,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
15,The Winner University,75.3%,Easy,76.1,https://leetcode.com/problems/the-winner-university,Database
16,Longest Palindromic Substring,35.3%,Medium,76.1,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
17,Trapping Rain Water,64.3%,Hard,73.6,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
18,Kth Largest Element in an Array,67.6%,Medium,70.7,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
