ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Integer to Roman,67.9%,Medium,100.0,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
2,Median of Two Sorted Arrays,42.9%,Hard,91.5,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
3,Decode String,60.7%,Medium,72.9,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
4,Merge Intervals,48.8%,Medium,72.9,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
5,Longest String Chain,61.7%,Medium,66.3,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
6,3Sum,36.4%,Medium,66.3,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
7,Number of Islands,61.6%,Medium,66.3,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
8,Reconstruct Original Digits from English,51.5%,Medium,66.3,https://leetcode.com/problems/reconstruct-original-digits-from-english,"Hash Table, Math, String"
9,Word Search II,37.0%,Hard,66.3,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
10,Longest Palindromic Substring,35.3%,Medium,66.3,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
11,Roman to Integer,64.2%,Easy,57.0,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
12,Shortest Word Distance,65.8%,Easy,57.0,https://leetcode.com/problems/shortest-word-distance,"Array, String"
13,Intersection of Two Arrays,76.0%,Easy,57.0,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
14,Verifying an Alien Dictionary,55.4%,Easy,57.0,https://leetcode.com/problems/verifying-an-alien-dictionary,"Array, Hash Table, String"
15,Validate Binary Search Tree,34.0%,Medium,57.0,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
16,Lowest Common Ancestor of a Binary Tree,65.7%,Medium,57.0,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
17,Search Suggestions System,65.0%,Medium,57.0,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
18,Minimum Time Takes to Reach Destination Without Drowning,55.2%,Hard,57.0,https://leetcode.com/problems/minimum-time-takes-to-reach-destination-without-drowning,"Array, Breadth-First Search, Matrix"
