ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Two Sum,55.1%,Easy,100.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
2,Roman to Integer,64.2%,Easy,77.2,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
3,Median of Two Sorted Arrays,42.9%,Hard,72.6,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
4,Container With Most Water,57.2%,Medium,72.6,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
5,Longest Substring Without Repeating Characters,36.3%,Medium,70.8,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
6,Best Time to Buy and Sell Stock,54.8%,Easy,70.8,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
7,Longest Palindromic Substring,35.3%,Medium,69.9,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
8,Add Two Numbers,45.4%,Medium,68.9,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
9,Maximum Depth of Binary Tree,76.8%,Easy,67.8,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
10,Merge Sorted Array,52.3%,Easy,66.7,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
11,Remove Duplicates from Sorted Array,59.5%,Easy,66.7,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
12,3Sum,36.4%,Medium,65.6,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
13,Merge Intervals,48.8%,Medium,65.6,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
14,Valid Parentheses,41.8%,Easy,64.3,https://leetcode.com/problems/valid-parentheses,"String, Stack"
15,Palindrome Number,58.7%,Easy,63.0,https://leetcode.com/problems/palindrome-number,Math
16,Climbing Stairs,53.3%,Easy,63.0,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
