ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Longest Subarray of 1's After Deleting One Element,68.8%,Medium,100.0,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element,"Array, Dynamic Programming, Sliding Window"
2,Summary Ranges,52.6%,Easy,96.2,https://leetcode.com/problems/summary-ranges,Array
3,String Compression,57.3%,Medium,88.3,https://leetcode.com/problems/string-compression,"Two Pointers, String"
4,Move Zeroes,62.5%,Easy,87.2,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
5,Valid Palindrome,50.2%,Easy,84.7,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
6,Subarray Sum Equals K,44.9%,Medium,83.7,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
7,Isomorphic Strings,46.4%,Easy,83.3,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
8,Insert Delete GetRandom O(1),54.9%,Medium,83.3,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
9,Longest Substring Without Repeating Characters,36.3%,Medium,82.8,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
10,Permutation in String,46.8%,Medium,81.8,https://leetcode.com/problems/permutation-in-string,"Hash Table, Two Pointers, String, Sliding Window"
11,Line Reflection,35.9%,Medium,81.3,https://leetcode.com/problems/line-reflection,"Array, Hash Table, Math"
12,Group Anagrams,70.3%,Medium,79.6,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
13,Two Sum,55.1%,Easy,79.6,https://leetcode.com/problems/two-sum,"Array, Hash Table"
14,Valid Parentheses,41.8%,Easy,79.0,https://leetcode.com/problems/valid-parentheses,"String, Stack"
15,Merge Intervals,48.8%,Medium,77.8,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
16,Number of Islands,61.6%,Medium,75.1,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
17,One Edit Distance,34.4%,Medium,72.7,https://leetcode.com/problems/one-edit-distance,"Two Pointers, String"
18,Validate Binary Search Tree,34.0%,Medium,70.1,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
19,Min Stack,55.9%,Medium,69.2,https://leetcode.com/problems/min-stack,"Stack, Design"
20,Generate Parentheses,76.5%,Medium,69.2,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
21,Longest Palindromic Substring,35.3%,Medium,69.2,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
22,Interval List Intersections,72.5%,Medium,68.2,https://leetcode.com/problems/interval-list-intersections,"Array, Two Pointers, Line Sweep"
23,Best Time to Buy and Sell Stock,54.8%,Easy,68.2,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
24,Find All Anagrams in a String,51.8%,Medium,66.0,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
25,Design an ATM Machine,43.8%,Medium,64.8,https://leetcode.com/problems/design-an-atm-machine,"Array, Greedy, Design"
26,Merge Sorted Array,52.3%,Easy,64.8,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
27,Trapping Rain Water,64.3%,Hard,64.8,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
28,Evaluate Reverse Polish Notation,54.1%,Medium,63.5,https://leetcode.com/problems/evaluate-reverse-polish-notation,"Array, Math, Stack"
29,Design Hit Counter,69.0%,Medium,62.2,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
30,Intersection of Two Arrays II,58.9%,Easy,62.2,https://leetcode.com/problems/intersection-of-two-arrays-ii,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
31,LRU Cache,44.4%,Medium,60.7,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
32,Longest Substring with At Most K Distinct Characters,49.3%,Medium,60.7,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters,"Hash Table, String, Sliding Window"
33,Candy,44.4%,Hard,57.4,https://leetcode.com/problems/candy,"Array, Greedy"
34,Minimum Window Substring,44.7%,Hard,57.4,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
35,Simplify Path,46.6%,Medium,55.6,https://leetcode.com/problems/simplify-path,"String, Stack"
36,Destination City,79.5%,Easy,53.5,https://leetcode.com/problems/destination-city,"Array, Hash Table, String"
37,Find the Difference of Two Arrays,80.4%,Easy,51.2,https://leetcode.com/problems/find-the-difference-of-two-arrays,"Array, Hash Table"
38,Container With Most Water,57.2%,Medium,51.2,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
39,Merge Two Sorted Lists,66.3%,Easy,51.2,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
