ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Summary Ranges,52.6%,Easy,94.1,https://leetcode.com/problems/summary-ranges,Array
2,String Compression,57.3%,Medium,86.7,https://leetcode.com/problems/string-compression,"Two Pointers, String"
3,Move Zeroes,62.5%,Easy,83.5,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
4,Line Reflection,35.9%,Medium,80.4,https://leetcode.com/problems/line-reflection,"Array, Hash Table, Math"
5,Isomorphic Strings,46.4%,Easy,80.4,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
6,Valid Palindrome,50.2%,Easy,80.4,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
7,Longest Substring Without Repeating Characters,36.3%,Medium,79.6,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
8,Insert Delete GetRandom O(1),54.9%,Medium,79.6,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
9,Two Sum,55.1%,Easy,76.8,https://leetcode.com/problems/two-sum,"Array, Hash Table"
10,Merge Intervals,48.8%,Medium,76.8,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
11,Group Anagrams,70.3%,Medium,76.3,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
12,Valid Parentheses,41.8%,Easy,75.3,https://leetcode.com/problems/valid-parentheses,"String, Stack"
13,One Edit Distance,34.4%,Medium,73.6,https://leetcode.com/problems/one-edit-distance,"Two Pointers, String"
14,Number of Islands,61.6%,Medium,73.0,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
15,Generate Parentheses,76.5%,Medium,67.4,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
16,Min Stack,55.9%,Medium,66.6,https://leetcode.com/problems/min-stack,"Stack, Design"
17,Longest Palindromic Substring,35.3%,Medium,66.6,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
18,Interval List Intersections,72.5%,Medium,65.7,https://leetcode.com/problems/interval-list-intersections,"Array, Two Pointers, Line Sweep"
19,Validate Binary Search Tree,34.0%,Medium,65.7,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
20,Find All Anagrams in a String,51.8%,Medium,64.8,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
21,Trapping Rain Water,64.3%,Hard,64.8,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
22,Merge Sorted Array,52.3%,Easy,63.8,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
23,Best Time to Buy and Sell Stock,54.8%,Easy,63.8,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
24,Design an ATM Machine,43.8%,Medium,63.8,https://leetcode.com/problems/design-an-atm-machine,"Array, Greedy, Design"
25,Evaluate Reverse Polish Notation,54.1%,Medium,60.6,https://leetcode.com/problems/evaluate-reverse-polish-notation,"Array, Math, Stack"
26,Design Hit Counter,69.0%,Medium,60.6,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
27,Intersection of Two Arrays II,58.9%,Easy,59.3,https://leetcode.com/problems/intersection-of-two-arrays-ii,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
28,LRU Cache,44.4%,Medium,59.3,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
29,Longest Substring with At Most K Distinct Characters,49.3%,Medium,56.7,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters,"Hash Table, String, Sliding Window"
30,Minimum Window Substring,44.7%,Hard,55.2,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
31,Simplify Path,46.6%,Medium,55.2,https://leetcode.com/problems/simplify-path,"String, Stack"
32,Candy,44.4%,Hard,53.5,https://leetcode.com/problems/candy,"Array, Greedy"
33,Merge Two Sorted Lists,66.3%,Easy,53.5,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
34,Symmetric Tree,58.6%,Easy,51.7,https://leetcode.com/problems/symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
35,Binary Tree Maximum Path Sum,40.9%,Hard,51.7,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
36,Merge k Sorted Lists,55.8%,Hard,49.8,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
37,Lowest Common Ancestor of a Binary Tree,65.7%,Medium,49.8,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
38,Is Subsequence,48.2%,Easy,49.8,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
39,Product of Array Except Self,67.4%,Medium,47.6,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
40,Container With Most Water,57.2%,Medium,47.6,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
