ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Majority Element,65.5%,Easy,100.0,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
2,Number of Islands,61.6%,Medium,97.6,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
3,Graph Valid Tree,49.1%,Medium,97.6,https://leetcode.com/problems/graph-valid-tree,"Depth-First Search, Breadth-First Search, Union Find, Graph"
4,Verify Preorder Sequence in Binary Search Tree,50.7%,Medium,97.6,https://leetcode.com/problems/verify-preorder-sequence-in-binary-search-tree,"Array, Stack, Tree, Binary Search Tree, Recursion, Monotonic Stack, Binary Tree"
5,Flatten 2D Vector,50.0%,Medium,97.6,https://leetcode.com/problems/flatten-2d-vector,"Array, Two Pointers, Design, Iterator"
6,Sliding Window Maximum,47.2%,Hard,97.6,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
7,Majority Element II,53.7%,Medium,97.6,https://leetcode.com/problems/majority-element-ii,"Array, Hash Table, Sorting, Counting"
8,Course Schedule II,52.6%,Medium,97.6,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
9,Course Schedule,48.5%,Medium,97.6,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
10,Reverse Linked List,78.7%,Easy,97.6,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
11,Median of Two Sorted Arrays,42.9%,Hard,97.6,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
12,Valid Parentheses,41.8%,Easy,97.6,https://leetcode.com/problems/valid-parentheses,"String, Stack"
13,Excel Sheet Column Title,42.9%,Easy,97.6,https://leetcode.com/problems/excel-sheet-column-title,"Math, String"
14,Min Stack,55.9%,Medium,97.6,https://leetcode.com/problems/min-stack,"Stack, Design"
15,LRU Cache,44.4%,Medium,97.6,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
16,Valid Palindrome,50.2%,Easy,97.6,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
17,Convert Sorted List to Binary Search Tree,63.9%,Medium,97.6,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,"Linked List, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
18,N-Queens II,76.0%,Hard,97.6,https://leetcode.com/problems/n-queens-ii,Backtracking
19,Trapping Rain Water,64.3%,Hard,97.6,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
20,Generate Parentheses,76.5%,Medium,97.6,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
21,Shortest Distance from All Buildings,43.8%,Hard,97.6,https://leetcode.com/problems/shortest-distance-from-all-buildings,"Array, Breadth-First Search, Matrix"
