ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Climbing Stairs,53.3%,Easy,100.0,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
2,Spiral Matrix,52.9%,Medium,94.1,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
3,Longest Palindromic Substring,35.3%,Medium,94.1,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
4,Best Time to Buy and Sell Stock,54.8%,Easy,92.9,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
5,Longest Substring Without Repeating Characters,36.3%,Medium,89.1,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
6,Group Anagrams,70.3%,Medium,87.7,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
7,Valid Parentheses,41.8%,Easy,87.7,https://leetcode.com/problems/valid-parentheses,"String, Stack"
8,Move Zeroes,62.5%,Easy,84.5,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
9,Compare Version Numbers,42.0%,Medium,80.9,https://leetcode.com/problems/compare-version-numbers,"Two Pointers, String"
10,Two Sum,55.1%,Easy,80.9,https://leetcode.com/problems/two-sum,"Array, Hash Table"
11,Number of Islands,61.6%,Medium,80.9,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
12,Longest Common Prefix,44.9%,Easy,78.9,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
13,Merge Intervals,48.8%,Medium,76.6,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
14,Trapping Rain Water,64.3%,Hard,76.6,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
15,Generate Parentheses,76.5%,Medium,74.2,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
16,Zigzag Conversion,50.8%,Medium,74.2,https://leetcode.com/problems/zigzag-conversion,String
17,Rotate Array,42.5%,Medium,71.4,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
18,Excel Sheet Column Number,65.3%,Easy,71.4,https://leetcode.com/problems/excel-sheet-column-number,"Math, String"
19,Decode String,60.7%,Medium,71.4,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
20,Container With Most Water,57.2%,Medium,71.4,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
21,Text Justification,47.1%,Hard,68.2,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
22,Rotate Image,77.2%,Medium,68.2,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
23,Merge Sorted Array,52.3%,Easy,68.2,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
24,Roman to Integer,64.2%,Easy,64.6,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
25,Sort Colors,66.4%,Medium,64.6,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
26,Word Pattern,42.8%,Easy,64.6,https://leetcode.com/problems/word-pattern,"Hash Table, String"
