ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Climbing Stairs,53.3%,Easy,100.0,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
2,Spiral Matrix,52.9%,Medium,97.2,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
3,Longest Palindromic Substring,35.3%,Medium,96.1,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
4,Best Time to Buy and Sell Stock,54.8%,Easy,96.1,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
5,Longest Substring Without Repeating Characters,36.3%,Medium,93.9,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
6,Group Anagrams,70.3%,Medium,90.2,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
7,Valid Parentheses,41.8%,Easy,88.8,https://leetcode.com/problems/valid-parentheses,"String, Stack"
8,Number of Islands,61.6%,Medium,87.4,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
9,Decode String,60.7%,Medium,87.4,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
10,Two Sum,55.1%,Easy,84.1,https://leetcode.com/problems/two-sum,"Array, Hash Table"
11,Merge Intervals,48.8%,Medium,84.1,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
12,Sort Even and Odd Indices Independently,62.6%,Easy,84.1,https://leetcode.com/problems/sort-even-and-odd-indices-independently,"Array, Sorting"
13,Move Zeroes,62.5%,Easy,84.1,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
14,Compare Version Numbers,42.0%,Medium,82.3,https://leetcode.com/problems/compare-version-numbers,"Two Pointers, String"
15,Trapping Rain Water,64.3%,Hard,82.3,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
16,Find Winner on a Tic Tac Toe Game,54.1%,Easy,78.3,https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game,"Array, Hash Table, Matrix, Simulation"
17,Longest Common Prefix,44.9%,Easy,78.3,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
