ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Total Cost to Hire K Workers,42.9%,Medium,100.0,https://leetcode.com/problems/total-cost-to-hire-k-workers,"Array, Two Pointers, Heap (Priority Queue), Simulation"
2,Find and Replace Pattern,76.8%,Medium,100.0,https://leetcode.com/problems/find-and-replace-pattern,"Array, Hash Table, String"
3,Cherry Pickup,37.6%,Hard,93.5,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
4,Count Zero Request Servers,33.4%,Medium,85.2,https://leetcode.com/problems/count-zero-request-servers,"Array, Hash Table, Sliding Window, Sorting"
5,Number of Ways to Divide a Long Corridor,49.0%,Hard,73.4,https://leetcode.com/problems/number-of-ways-to-divide-a-long-corridor,"Math, String, Dynamic Programming"
6,First Missing Positive,40.6%,Hard,73.4,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
7,Self Crossing,31.7%,Hard,73.4,https://leetcode.com/problems/self-crossing,"Array, Math, Geometry"
8,Largest Rectangle in Histogram,46.6%,Hard,73.4,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
9,Split the Array to Make Coprime Products,23.6%,Hard,73.4,https://leetcode.com/problems/split-the-array-to-make-coprime-products,"Array, Hash Table, Math, Number Theory"
10,Bitwise OR of All Subsequence Sums,65.1%,Medium,73.4,https://leetcode.com/problems/bitwise-or-of-all-subsequence-sums,"Array, Math, Bit Manipulation, Brainteaser"
11,Shortest Cycle in a Graph,37.0%,Hard,73.4,https://leetcode.com/problems/shortest-cycle-in-a-graph,"Breadth-First Search, Graph"
12,Reverse Nodes in k-Group,62.0%,Hard,73.4,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
13,Maximum Spending After Buying Items,61.5%,Hard,73.4,https://leetcode.com/problems/maximum-spending-after-buying-items,"Array, Greedy, Sorting, Heap (Priority Queue), Matrix"
14,Global and Local Inversions,42.3%,Medium,73.4,https://leetcode.com/problems/global-and-local-inversions,"Array, Math"
15,Optimal Account Balancing,49.7%,Hard,73.4,https://leetcode.com/problems/optimal-account-balancing,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
16,Frog Jump,46.4%,Hard,73.4,https://leetcode.com/problems/frog-jump,"Array, Dynamic Programming"
17,Unique Paths II,42.8%,Medium,73.4,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
18,Unique Paths,65.4%,Medium,73.4,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
19,LFU Cache,45.8%,Hard,73.4,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
