ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Maximum Spending After Buying Items,61.5%,Hard,100.0,https://leetcode.com/problems/maximum-spending-after-buying-items,"Array, Greedy, Sorting, Heap (Priority Queue), Matrix"
2,Split the Array to Make Coprime Products,23.6%,Hard,100.0,https://leetcode.com/problems/split-the-array-to-make-coprime-products,"Array, Hash Table, Math, Number Theory"
3,Bitwise OR of All Subsequence Sums,65.1%,Medium,100.0,https://leetcode.com/problems/bitwise-or-of-all-subsequence-sums,"Array, Math, Bit Manipulation, Brainteaser"
4,Shortest Cycle in a Graph,37.0%,Hard,100.0,https://leetcode.com/problems/shortest-cycle-in-a-graph,"Breadth-First Search, Graph"
5,Number of Ways to Divide a Long Corridor,49.0%,Hard,100.0,https://leetcode.com/problems/number-of-ways-to-divide-a-long-corridor,"Math, String, Dynamic Programming"
6,Find and Replace Pattern,76.8%,Medium,82.4,https://leetcode.com/problems/find-and-replace-pattern,"Array, Hash Table, String"
7,Total Cost to Hire K Workers,42.9%,Medium,82.4,https://leetcode.com/problems/total-cost-to-hire-k-workers,"Array, Two Pointers, Heap (Priority Queue), Simulation"
8,Cherry Pickup,37.6%,Hard,76.7,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
9,Count Zero Request Servers,33.4%,Medium,69.4,https://leetcode.com/problems/count-zero-request-servers,"Array, Hash Table, Sliding Window, Sorting"
10,Reverse Nodes in k-Group,62.0%,Hard,59.2,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
11,Number of Islands,61.6%,Medium,59.2,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
12,LFU Cache,45.8%,Hard,59.2,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
13,First Missing Positive,40.6%,Hard,59.2,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
14,3Sum,36.4%,Medium,59.2,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
15,Frog Jump,46.4%,Hard,59.2,https://leetcode.com/problems/frog-jump,"Array, Dynamic Programming"
16,Largest Rectangle in Histogram,46.6%,Hard,59.2,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
17,Optimal Account Balancing,49.7%,Hard,59.2,https://leetcode.com/problems/optimal-account-balancing,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
18,Unique Paths,65.4%,Medium,59.2,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
19,Global and Local Inversions,42.3%,Medium,59.2,https://leetcode.com/problems/global-and-local-inversions,"Array, Math"
20,Unique Paths II,42.8%,Medium,59.2,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
21,Self Crossing,31.7%,Hard,59.2,https://leetcode.com/problems/self-crossing,"Array, Math, Geometry"
