ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Two Sum,55.1%,Easy,100.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
2,Remove All Adjacent Duplicates in String II,59.1%,Medium,91.2,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack"
3,Rotate Image,77.2%,Medium,91.2,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
4,Jump Game,39.1%,Medium,91.2,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
5,Find the Smallest Divisor Given a Threshold,62.6%,Medium,78.8,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,"Array, Binary Search"
6,Maximum Strong Pair XOR II,30.4%,Hard,78.8,https://leetcode.com/problems/maximum-strong-pair-xor-ii,"Array, Hash Table, Bit Manipulation, Trie, Sliding Window"
7,Maximum Strong Pair XOR I,75.3%,Easy,78.8,https://leetcode.com/problems/maximum-strong-pair-xor-i,"Array, Hash Table, Bit Manipulation, Trie, Sliding Window"
8,Largest Number After Digit Swaps by Parity,63.3%,Easy,78.8,https://leetcode.com/problems/largest-number-after-digit-swaps-by-parity,"Sorting, Heap (Priority Queue)"
9,Day of the Year,48.9%,Easy,78.8,https://leetcode.com/problems/day-of-the-year,"Math, String"
10,Apply Operations to Make Sum of Array Greater Than or Equal to k,44.4%,Medium,78.8,https://leetcode.com/problems/apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k,"Math, Greedy, Enumeration"
11,Longest Common Prefix,44.9%,Easy,78.8,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
12,Linked List Cycle,52.0%,Easy,78.8,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
13,Longest Substring Without Repeating Characters,36.3%,Medium,78.8,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
14,Moving Average from Data Stream,79.6%,Easy,78.8,https://leetcode.com/problems/moving-average-from-data-stream,"Array, Design, Queue, Data Stream"
15,Integer to Roman,67.9%,Medium,78.8,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
16,Maximum Number of Events That Can Be Attended,32.7%,Medium,78.8,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,"Array, Greedy, Sorting, Heap (Priority Queue)"
17,String Compression,57.3%,Medium,78.8,https://leetcode.com/problems/string-compression,"Two Pointers, String"
18,Degree of an Array,57.1%,Easy,78.8,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
19,Robot Bounded In Circle,56.2%,Medium,78.8,https://leetcode.com/problems/robot-bounded-in-circle,"Math, String, Simulation"
20,Maximum Subarray,51.7%,Medium,78.8,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
21,Remove Duplicates from Sorted Array,59.5%,Easy,78.8,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
22,Optimal Account Balancing,49.7%,Hard,78.8,https://leetcode.com/problems/optimal-account-balancing,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
